"","name","cbprofile","totalfunding","totalfundingcurrency","ipostatus","lastfundingtype","employees","industries","headquarters","description","transactionname","tnamelink","founders","website","companytype","email","revenue","yearfounded","lastfunding","lastfundingcurrency","industrygroup","status","lastfundingdate"
"11","Pollen","https://www.crunchbase.com/organization/streetteam-software",250548079,"USD","Private","Series C","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/streetteam-software","Events, Marketing, Marketplace, Ticketing, Travel","London, England, United Kingdom","Pollen specializes in the fields of events, travel, festivals, entertainment, experiences, membership, youth culture, and marketplace. The company partners with brands including Live Nation, C3 Presents, MGM Resorts, Universal Music Group, and more. It also integrates with ticketing providers such as Ticketmaster, Eventbrite, Priceline, Stubhub, SeeTickets, Paylogic, and Front Gate Tickets.","—",NA,"Callum Negus-Fancey, Liam Negus-Fancey","https://pollen.co","For Profit","support@pollen.co","$10M to $50M","2014",1.24e+08,"GBP","Commerce and Shopping, Events, Media and Entertainment, Sales and Marketing, Travel and Tourism","Active",2022-04-20
"12","Moneyhub","https://www.crunchbase.com/organization/moneyhub",81456499,"USD","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/moneyhub","Banking, Finance, Financial Services, FinTech","Bristol, Bristol, City of, United Kingdom","Moneyhub helps companies reinvent how they interact with their customers. It is a data and payments company that develops ISO 27001-certified software for Open Banking, Open Finance, and Open Data applications. Its FCA-regulated Open Data platform enables companies to quickly and easily transform data into personalized digital experiences and initiate payments. Its APIs and fully customizable platform provide data aggregation, insights, and payment systems. As a result, clients have the consent-driven data and analytics they need to create super-personalized offers, products, and services. Hundreds of organizations, spanning finance to media and retail, rely on Moneyhub’s award-winning technology.","Moneyhub acquired by MMI Holdings","https://www.crunchbase.com/acquisition/mmi-holdings-acquires-moneyhub--f303c1f7","—","https://www.moneyhub.com","For Profit","info@moneyhub.com","$1M to $10M","2014",1.5e+07,"GBP","Financial Services, Lending and Investments","Active",2022-12-19
"13","DRONAMICS","https://www.crunchbase.com/organization/dronamics",62311239,"USD","Private","Seed","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/dronamics","Aerospace, Drones, Logistics, Shipping","London, England, United Kingdom","Our mission at DRONAMICS is to democratize airfreight and lower the cost of shipping in emerging markets. To achieve this, we are developing a new type of cargo airplane – small, unmanned and extremely fuel efficient. It can transport 350 KG over 2,500 KM for a cost that's 50%+ lower than other airplanes. It flies autonomously, can be monitored and managed remotely via satellite, and the whole system costs less than a sports car.         DRONAMICS is IATA's first and only Strategic Partner for drones worldwide.","—",NA,"Konstantin Rangelov, Svilen Rangelov","https://www.dronamics.com","For Profit","ir@dronamics.com","—","2014",4e+07,"USD","Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Transportation","Active",2023-02-17
"14","Atom Bank","https://www.crunchbase.com/organization/atom-bank",5.74e+08,"GBP","Private","Private Equity","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/atom-bank","Banking, Financial Services, FinTech, Mobile Apps","Durham, Durham, United Kingdom","Atom Bank is a mobile banking application that offers a range of personal and business banking products. Users can log in using face and voice recognition and receive support from a 24/7 customer service team. The application, available on iOS devices, was launched in March 2014 and its operations are based in Durham, the United Kingdom.","—",NA,"Anthony Thomson, David McCarthy, Mark Mullen","https://www.atombank.co.uk","For Profit","enquiries@atombank.co.uk","—","2014",3e+07,"GBP","Apps, Financial Services, Lending and Investments, Mobile, Software","Active",2022-11-25
"15","Smart Pension","https://www.crunchbase.com/organization/smart-pension",223300000,"GBP","Private","Private Equity","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/smart-pension","Financial Services, FinTech, Information Technology","London, England, United Kingdom","Founded by experienced finance and technology professionals we are uniquely designed to support UK businesses. Our Master Trust is regulated by The Pensions Regulator and the company has been awarded a 5-star rating by independent reviewers for the past three years.        Although relatively new to the UK pension market, we are proven innovators and potential future leaders of the industry. In June 2018 we were named Master Trust Offering of the Year at the European Pension Awards. In the last 12 months, we were also voted FinTech Innovation of the Year and overall winners at the Digital Leaders Awards, as well as winning three ‘The Rewards’ Pension and Payroll Industry awards in one night, including best Workplace Pension Provider.        Our Employee app will transform the future of pension saving for a new generation. It allows users to pick and choose the most suitable investment funds, track their pension balance in real-time on their phone and increase contribution levels when they can afford to do so - engaging people with their pensions like never before.        For more information please visit www.SmartPension.co.uk.","—",NA,"Andrew Evans, Darren Agombar, Will Wynne","https://www.smartpension.co.uk","For Profit","support@smartpension.co.uk","—","2014",4e+07,"GBP","Financial Services, Information Technology","Active",2022-07-14
"16","Healx","https://www.crunchbase.com/organization/healx",67909855,"USD","Private","Series B","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/healx","Artificial Intelligence, Biopharma, Biotechnology, Health Care, Medical","Cambridge, Cambridgeshire, United Kingdom","Healx is a mission-driven technology company pioneering the next wave of drug discovery in order to bring novel, effective treatments to rare disease patients around the world. There are 7,000 known rare diseases that affect 400 million people across the globe, but only 5% of those conditions have an approved treatment. By combining frontier AI technology with deep drug discovery and development expertise, Healx can accelerate the pace, increase the scale and improve the chance of success of rare disease treatment development in order to meet this huge unmet need and have unprecedented patient impact.         Founded in Cambridge, UK, in 2014 by Dr Tim Guilliams (a Biochemical Engineer and tech entrepreneur) and Dr David Brown (co-inventor of Viagra and former Global Head of Drug Discovery at Roche), Healx has raised $70 million to date. For more information, visit www.healx.io.","—",NA,"Andreas Bender, David Brown, David Cavalla, Tim Guilliams","http://healx.io","For Profit","info@healx.io","—","2014",5.6e+07,"USD","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Active",2019-10-16
"17","Blink","https://www.crunchbase.com/organization/kimono-3",30849010,"USD","Private","Series A","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/kimono-3","Collaboration, Enterprise Software, Messaging, Mobile, Mobile Apps","London, England, United Kingdom","Blink is the digital backbone of companies who run the real world and don’t sit behind a computer.  It’s for the millions of essential nurses, bus drivers, construction workers or supply chain operators that run the economy. In just a year, Blink has already been adopted by more than 60,000 people across over 100 companies in the UK, US and Australia who open the Blink app more than 15 times per day.        70% of the workforce today are frontline workers. But they have been underinvested in for far too long. Too often they suffer from low morale because they feel unappreciated at work. It's time for change.        In our customers so far, we have reduced staff turnover by 26%, doubled employee satisfaction and delivered an ROI in under 3 months. Most importantly, 100% of frontline workers would recommend Blink to a colleague.         We empower, we protect and we equip frontline workers with an all-in-one app that digitises the frontline and put everything your people need at their fingertips.        Come join us on our mission.","—",NA,"Sean Nolan","https://joinblink.com","For Profit","hello@joinblink.com","—","2014",2e+07,"USD","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Software","Active",2021-11-10
"18","Panaseer","https://www.crunchbase.com/organization/panaseer",4.2e+07,"USD","Private","Series B","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/panaseer","Big Data, Cyber Security, Enterprise Software, Information Technology","London, England, United Kingdom","Panaseer is the first Continuous Controls Monitoring platform for enterprise cybersecurity.         Our platform shows you every asset, application, user and data set across your IT estate in real-time. This identifies gaps in controls coverage, aligns security with framework standards and substantiates regulatory compliance.         Our automated reports significantly reduce reporting time and tailor insights to stakeholders at every level, enhancing decision-making from the boardroom to the analyst. These reports can also be mapped to the organisation’s structure, so you can prioritise risk based on impact to the business.        Enterprise security leaders around the world trust our platform to help them make better security decisions.","—",NA,"Charaka Goonatilake, Mike MacIntyre, Nik Whitfield, Sophie Harrison","http://www.panaseer.com","For Profit","info@panaseer.com","$1M to $10M","2014",26500000,"USD","Data and Analytics, Information Technology, Privacy and Security, Software","Active",2021-05-11
"19","Goodlord","https://www.crunchbase.com/organization/goodlord",69475587,"USD","Private","Series B","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/goodlord","Mobile Payments, Real Estate, SaaS, Software","London, England, United Kingdom","Goodlord offers the cloud-based software to help estate agents, landlords, and tenants manage the rental process.        Its cloud-based software digitizes tenancy creation and progression, allowing Goodlord to cut pointless, time-consuming administration for agents while transforming the tenant and landlord experience. Goodlord also provides a shop-front for agents to easily offer services that provide more value to their tenants and landlords, such as insurance and utility services.        Philip Mundy, Richard White, and Tom Mundy founded the company in 2014. It was established in London, England.","—",NA,"Philip Mundy, Richard White, Tom Mundy","http://goodlord.co","For Profit","info@goodlord.co","—","2014",2.7e+07,"GBP","Financial Services, Mobile, Payments, Real Estate, Software","Active",2022-03-30
"20","Cuvva","https://www.crunchbase.com/organization/cuvva",17010000,"GBP","Private","Series A","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/cuvva","Auto Insurance, Finance, Insurance, Mobile Payments","London, England, United Kingdom","Always on, or just an hour. Get flexible and fair car insurance on your terms, in minutes with Cuvva. The mobility app has sold around 6 million policies,  and supported over 760,000 customers.","—",NA,"Freddy Macnamara, James Billingham","https://cuvva.com/","For Profit","hello@cuvva.com","—","2014",1.5e+07,"GBP","Financial Services, Mobile, Payments, Software","Active",2019-12-03
"21","Genomics","https://www.crunchbase.com/organization/genomics",90828544,"USD","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/genomics","Biopharma, Biotechnology, Genetics, Health Care, Life Science, Medical, Therapeutics","Oxford, Oxfordshire, United Kingdom","Genomics plc aiming to lead the genomic transformation of healthcare, to develop and apply sophisticated analyses of massive integrated genomic and phenotypic datasets to learn about human biology and reveal the human wiring diagram        They will lead the way through this challenge, using their expertise and experience to unleash the potential of genomics and set the standards by which organisations and patients can benefit from genomic data.","—",NA,"Chris Spencer, Gerton Lunter, Gil McVean, Peter Donnelly","http://www.genomicsplc.com","For Profit","info@genomicsplc.com","—","2014",3e+07,"USD","Biotechnology, Health Care, Science and Engineering","Active",2021-03-01
"22","Gravity Sketch","https://www.crunchbase.com/organization/gravity-2",41836995,"USD","Private","Series A","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/gravity-2","3D Technology, Augmented Reality, Industrial Design, Product Design, Virtual Reality","London, England, United Kingdom","Gravity Sketch is powering design teams that need to think, collaborate, and create in three dimensions. They build intuitive multi-platform tools to radically improve the efficacy and efficiency of developing 3D products.        Their energy is focussed entirely on their customers - removing friction from their archaic workflows, helping enhance and expedite their creative intent, and ultimately, making collaboration in cross-functional teams faster and more cost-effective.        It was founded in 2014 and is headquartered in London, England.","—",NA,"Daniel Thomas, Daniela Paredes, Oluwaseyi Sosanya","http://gravitysketch.com","For Profit","info@gravitysketch.com","—","2014",2.5e+07,"GBP","Design, Hardware, Software","Active",2022-04-19
"23","Entocycle","https://www.crunchbase.com/organization/entocycle",16020000,"USD","Private","Series A","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/entocycle","Agriculture, AgTech, Biotechnology, CleanTech","London, England, United Kingdom","Entocycle, the insect farming company. Our mission is to accelerate a global transition to sustainable protein. They developed a  proprietary neonate counter to enable accurate larvae counting and dosing.","—",NA,"Keiran Olivares Whitaker","https://www.entocycle.com","For Profit","info@entocycle.com","—","2014",5e+06,"USD","Agriculture and Farming, Biotechnology, Science and Engineering, Sustainability","Active",2023-01-23
"24","Helpling","https://www.crunchbase.com/organization/helpling",95048939,"USD","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/helpling","Apps, Home Services, Internet, Marketplace, Real Estate","London, England, United Kingdom","Helpling is an online booking and payment platform that provides on-demand home services outside the U.S. On the website or via an app, customers can book a vetted and insured cleaner and gain back free time within a couple of clicks. For cleaners, the innovative online service makes it easier than ever to access new clients and to manage when and where they want to work.        Helpling allows people more time for the beautiful things in life such as family, friends, and leisure. The cleaners charge a flat rate of £10 per hour and pay a fee when they find a regular customer through the platform or 10% of the value of the booking for one time cleans.        Helping was founded in 2014 and is based in Berlin, Germany.","—",NA,"Alberto Cartasegna, Alex Depledge, Benedikt Franke, Kai Koch, Manar Alkassar, Philip Huffmann, Yeenteck Hoe","https://www.helpling.de/","For Profit","contact@helpling.com.sg","—","2014",2e+07,"EUR","Apps, Commerce and Shopping, Internet Services, Real Estate, Software","Active",2019-10-31
"25","Delta Capita","https://www.crunchbase.com/organization/delta-capita",5e+07,"USD","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/delta-capita","Banking, Financial Services, Management Consulting","London, England, United Kingdom","Delta Capita is an international business and technology consulting and managed services firm specialising in delivering solutions to financial services organisations.         Delta Capita is establishing industry utility platforms to mutualise the cost of common banking functions using best practice standardisation, cutting edge technology and infrastructures.        Delta Capita has its head office in Canary Wharf, London and regional hub offices in Amsterdam, New York, Singapore and Hong Kong.","—",NA,"Joe Channer","http://deltacapita.com/","For Profit","info@deltacapita.com","—","2014",5e+07,"USD","Financial Services, Lending and Investments, Professional Services","Active",2020-03-26
"26","Mixergy","https://www.crunchbase.com/organization/mixergy-ltd",12800000,"GBP","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/mixergy-ltd","Energy, Renewable Energy","Cassington, Oxfordshire, United Kingdom","Mixergy Ltd. offer a cost-effective solution to save energy and facilitate more renewable power generation through grid balancing. Mixergy tanks achieve better utilisation of solar PV and heat pumps.","—",NA,"Peter Armstrong, Ren Kang","https://mixergy.co.uk/","For Profit","—","—","2014",9200000,"GBP","Energy, Sustainability","Active",2023-03-27
"27","Cytora","https://www.crunchbase.com/organization/cytora",41430336,"USD","Private","Series B","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/cytora","Commercial Insurance, Information Technology, Insurance, InsurTech, Risk Management, Software","London, England, United Kingdom","Cytora is a configurable platform that enables commercial insurers to process risks at greater efficiency and accuracy. Cytora digitises every incoming risk, augments them with additional data sources, evaluates them against multiple rules, including appetite and priority rules, and routes them to downstream systems for automated or manual underwriting.        Cytora was founded in 2014 and is headquartered in London.","—",NA,"Aeneas Wiener, Andre Alzamora, Joshua Wallace, Richard Hartley","http://www.cytora.com/","For Profit","info@cytora.com","—","2014",2.5e+07,"GBP","Financial Services, Information Technology, Professional Services, Software","Active",2019-04-16
"28","Weaveworks","https://www.crunchbase.com/organization/weaveworks",61649991,"USD","Private","Series C","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/weaveworks","Cloud Computing, Developer Tools, Enterprise Software, Software","London, England, United Kingdom","Weaveworks simplifies operating Kubernetes workloads and provides a developer-centric operating model for cloud-native applications.         Founded in 2014, Weaveworks makes it fast and simple for developers and DevOps teams to build and operate powerful containerized applications. They minimize the complexity of operating workloads in Kubernetes by providing automated continuous delivery pipelines, observability, and monitoring.  It is one of the first members of the Cloud Native Computing Forum.        Weaveworks also contributes to several open-source projects, including Weave Scope, Weave Cortex, and Weave Flux.","—",NA,"Alexis Richardson, Matthias Radestock","https://www.weave.works/","For Profit","help@weave.works","Less than $1M","2014",36649991,"USD","Internet Services, Software","Active",2020-12-08
"29","AND Digital","https://www.crunchbase.com/organization/andigital",1.9e+07,"GBP","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/andigital","Cloud Computing, Consulting, Mobile Apps, Software Engineering, UX Design","London, England, United Kingdom","AWD Digital offers services such as brand strategy, logo & identity design, print media, website design,ecommerce, web applications, and mobile applications.","—",NA,"Paramjit Uppal","http://www.and.digital","For Profit","hello@and.digital","—","2014",8e+06,"GBP","Apps, Design, Internet Services, Mobile, Professional Services, Science and Engineering, Software","Active",2021-04-08
"30","Cushon","https://www.crunchbase.com/organization/smarterly",72213253,"GBP","Private","Venture - Series Unknown","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/smarterly","Banking, Financial Services, FinTech, Venture Capital","London, England, United Kingdom","Cushon is a fintech company that provides investment, pension, financial wellbeing and workplace savings.","Cushon acquired by NatWest Group","https://www.crunchbase.com/acquisition/royal-bank-of-scotland-acquires-smarterly--ff594af0","Ben Pollard, Phil Hollingdale","https://www.cushon.co.uk","For Profit","—","Less than $1M","2014",3.5e+07,"GBP","Financial Services, Lending and Investments","Active",2022-01-20
"31","Seldon","https://www.crunchbase.com/organization/seldon",33691771,"USD","Private","Series B","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/seldon","Artificial Intelligence, Machine Learning, Open Source","London, England, United Kingdom","Seldon enables ml engineering teams to accelerate from r and d to production with proven efficiency gains. Its customers include large enterprises across sectors and geographies, including leaders in technology, pharma, automotive, finance, and retail. Their open-source projects are considered in model serving, explanations, and monitoring with installs and models deployed.","—",NA,"Alex Housley","https://www.seldon.io","For Profit","hello@seldon.io","$1M to $10M","2014",2e+07,"USD","Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Active",2023-03-16
"32","ZigZag Global","https://www.crunchbase.com/organization/zigzag-global",20262015,"USD","Private","Series A","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/zigzag-global","B2B, E-Commerce, Retail, SaaS, Software","London, England, United Kingdom","ZigZag Global is a software platform to help retailers manage returns globally. It grades retailers returned products and offers consolidation, refurbishment, local redistribution, recycling, destruction, and reselling stock internationally on a revenue share basis.        The ZigZag network connects over 200 local warehouses in 130 countries so customers can get faster refunds. E-commerce consumers return items back to retailers via an intelligent returns portal.  Returns take less than one minute, and customers send tracked returns by post, locker or courier from over 300,000 locations.        Goods are sent back to a local warehouse and then ZigZag can scan, grade, consolidate or refurbish products to get them back into the supply chain more quickly.         Customers can be refunded in just 24 hours, and goods can then be returned, destroyed, donated or re-fulfilled to a new order or resold via marketplaces.        ZigZag won the 2017 ShopTalk Startup award along with a 25,000 Euro prize. It also won the 2017 Sustainability Award in Milan, 2017 Innovation Award at IRX, StartUps 100 Winner 2017. 2016 Global award at the World Retail Congress in Dubai for innovation and were shortlisted for Innovation of the Year by Retail Week at the Tech and EComm Awards, Mark of Excellence - Disruptor of the Year 2016 - Supply Chain Awards, Winner at London Technology Week – GetInTheRing.        ZigZag was founded in 2014 by Al Gerrie and Laurence Guy. and is headquartered in London, England, UK.","ZigZag Global acquired by Global Blue","https://www.crunchbase.com/acquisition/global-blue-acquires-zigzag-global--a0c25a68","Al Gerrie, Laurence Guy","http://www.zigzag.global/","For Profit","hello@zigzag.global","Less than $1M","2014",1.9e+07,"USD","Commerce and Shopping, Other, Software","Active",2019-11-08
