Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Threecolts,https://www.crunchbase.com/organization/threecolts,75400000,GBP,89175997,Private,Series A,101-250,"E-Commerce, Product Management, Retail Technology, Sales, Software","London, England, United Kingdom",Threecolts is the most comprehensive marketplace management platform for businesses.,,,Yoda Yee,https://www.threecolts.com,For Profit,,https://www.linkedin.com/company/threecolts,"Threecolts is an e-commerce management platform provider. It creates management software for e-commerce brands and individual merchants to manage their sales channels on Amazon, Walmart, and eBay. Over 22,000 businesses worldwide use the company's services, including consumer brands and Fortune 500 companies like Samsung, Panasonic, and L'Oréal.",,2021-01-01,year,75400000,GBP,89175997,"Commerce and Shopping, Hardware, Other, Sales and Marketing, Software",Active,2023-03-07,,,,,
Thought Machine,https://www.crunchbase.com/organization/thoughtmachine,562754986,USD,562754986,Private,Series D,251-500,"Banking, Enterprise Software, Financial Services, FinTech, IT Infrastructure","London, England, United Kingdom",Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking.,,,Paul Taylor,https://www.thoughtmachine.net,For Profit,press@thoughtmachine.net,https://www.linkedin.com/company/thought-machine,"Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking. Its mission is to cure one of the banking industry's primary problems: its reliance on outdated IT infrastructure. Nearly every bank is stuck on a legacy IT platform, which cripples their ability to innovate and give their customers the type of service they deserve. The company provides a solution to this is Vault: a complete retail banking platform that is capable of being configured easily to suit the needs of any bank. They have built Vault from the ground up as a cloud-native, microservice API architecture platform. Thought Machine has a deep culture of engineering excellence, and they believe it is this which delivers a solution compelling enough to engender a seismic shift in the banking industry.",$1M to $10M,2014-01-01,year,160000000,USD,160000000,"Financial Services, Information Technology, Lending and Investments, Software",Active,2022-05-18,,,,,
Attio,https://www.crunchbase.com/organization/attio,31200000,USD,31200000,Private,Series A,11-50,"CRM, Information Technology, Software","London, England, United Kingdom","Attio is the CRM of the future: data-driven, completely customizable and intuitively collaborative.",,,"Alexander Christie, Nicolas Sharp",https://attio.com,For Profit,support@attio.com,https://www.linkedin.com/company/attio,"Business software is changing fast. Notion is changing how we organize, Slack is replacing internal email, and Miro is transforming how we whiteboard. But one thing hasn't changed: relationships. Relationships are the most important part of business but somehow our tools have been left in the past. It's time for an upgrade.",,2019-01-01,year,23500000,USD,23500000,"Information Technology, Sales and Marketing, Software",Active,2023-03-01,,,,,
APEXX,https://www.crunchbase.com/organization/apexx-fintech,37000000,USD,37000000,Private,Series B,11-50,"Finance, FinTech, Payments","London, England, United Kingdom","APEXX consolidates global payment providers into a single integration point, optimising the cost of complex payment ecosystems.",,,"Peter Keenan, Rodney Bain, Toreson Lloyd",https://apexx.global,For Profit,apexx@apexx.global,https://www.linkedin.com/company/apexxglobal,"Apexx provides a Payments-as-a-Service platform, integrating acquirers, gateways, shopping carts, and alternative payment methods into a single integration. APEXX consults its enterprise level customers to consolidate their payment service provider relationships, and display all their reporting and transactional data in a single interface.",,2016-01-01,year,25000000,USD,25000000,"Financial Services, Payments",Active,2023-03-13,,,,,
Builder.ai,https://www.crunchbase.com/organization/builderai,195000000,USD,195000000,Private,Series C,251-500,"Artificial Intelligence, Developer Tools, Machine Learning, Software, Software Engineering","London, England, United Kingdom",Builder.ai develops an AI-powered platform designed to help build and operate software projects.,,,"Sachin Dev Duggal, Saurabh Dhoot",http://www.builder.ai,For Profit,,https://www.linkedin.com/company/builderai,"Builder.ai is an AI-powered software designed to help build and operate software projects. Its platform and human-assisted AI helps enterprises, small businesses, and entrepreneurs to build, run, and scale their software without requiring technical expertise and any lines of code. The company was founded in 2012 and is based in San Francisco, California.",,2016-01-01,year,100000000,USD,100000000,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Active,2022-03-30,,,,,
Radix,https://www.crunchbase.com/organization/radix-91c2,16000000,USD,16000000,Private,Venture - Series Unknown,11-50,"Blockchain, Cryptocurrency, Database, Finance","London, England, United Kingdom",Radix is a stack of decentralized networks that builds without the constant threat of exploits and hacks.,,,Dan Hughes,https://www.radixdlt.com,For Profit,hello@radixdlt.com,http://www.linkedin.com/company/radixdlt,"Radix is a developer of decentralized finance protocol designed to provide access, liquidity, and programmability to any asset. Their product protocol for building decentralized applications, tokens, and coins features a vertically integrated approach focused on making on- or off-ramping as simple as possible, along with functionality to create and access liquidity pools through an application programming interface, enabling clients to create, transfer, and store digital assets and applications.",$1M to $10M,2016-01-01,year,10000000,USD,10000000,"Data and Analytics, Financial Services, Other, Payments, Software",Active,2023-03-23,,,,,
ClearBank,https://www.crunchbase.com/organization/clearbank,627412880,USD,627412880,Private,Venture - Series Unknown,251-500,"Banking, Financial Services, FinTech, Payments","Bristol, Bristol, City of, United Kingdom",ClearBank is a clearing and agency banking platform allowing banks and other customers real-time clearance on payment transactions.,,,"Andrew Smith, Nick Ogden",https://www.clear.bank/,For Profit,press@clear.bank,https://www.linkedin.com/company/clear.bank,"ClearBank is a clearing and agency banking platform allowing banks and other customers real-time clearance on payment transactions and other financial services. Its services include account management, liquidity management, transaction analysis, and real-time access to payment schemes. These services help clients to make transactions fast and cost-effective for their customers. The company was founded in 2015 and is based in Bristol City, United Kingdom.",,2015-01-01,year,175000000,GBP,230685068,"Financial Services, Lending and Investments, Payments",Active,2022-03-18,,,,,
DICE,https://www.crunchbase.com/organization/dice,134800000,USD,134800000,Private,Series C,101-250,"Events, Media and Entertainment, Music, Ticketing","London, England, United Kingdom",DICE is a curated platform that connects fans to live shows.,,,Phil Hutcheon,https://dice.fm/,For Profit,help@dice.fm,https://www.linkedin.com/company/dice-fm,"DICE was founded in London in 2014, DICE helps fans discover and buy tickets to live shows and streams all over the world. Available in the UK, US, France, Italy, Spain, India and Australia, and accessible to fans globally through its live stream offering, DICE is on a mission to get people out more.",$1M to $10M,2014-01-01,year,122000000,USD,122000000,"Events, Media and Entertainment, Music and Audio",Active,2021-09-27,,,,,
Envisics,https://www.crunchbase.com/organization/envisics,100000000,USD,100000000,Private,Series C,51-100,"Augmented Reality, Automotive, Information Technology, Software, Transportation","Milton Keynes, Milton Keynes, United Kingdom",Envisics is a holographic technologies company focused on augmented reality head-up displays (AR-HUDs) and automotive sensor systems.,,,Jamieson Christmas,http://www.envisics.com,For Profit,contactus@envisics.com,https://www.linkedin.com/company/envisics-limited,"ENVISICS branded technology harnesses the power of holography and laser-based light sources to provide the highest possible image quality. The advancement of ENVISICS branded technology has the opportunity to transform automotive displays and revolutionize the in-car experience. In partnership with the world's leading automakers and tier-one suppliers, Envisics is making the future of holographic technology a reality for smarter and safer vehicles",$1M to $10M,2018-01-01,day,50000000,USD,50000000,"Hardware, Information Technology, Software, Transportation",Active,2023-03-09,,,,,
HelloSelf,https://www.crunchbase.com/organization/helloself,31253341,USD,31253341,Private,Series B,51-100,"Health Care, Personal Health, Wellness","London, England, United Kingdom",HelloSelf is a health and wellness platform that provides its users with digital access to therapists.,,,Charles Wells,https://helloself.com,For Profit,hello@helloself.com,https://www.linkedin.com/company/helloself,"HelloSelf provides online counselling and life coaching services to help people cope with stress. The company's services include elements such as stress, anxiety, and confidence testing using professionally proven procedures, allowing patients to schedule appointments with psychologists and therapists at their leisure. HelloSelf was established in 2018 in London, England by Charles Wells.",,2018-01-01,year,20000000,USD,20000000,Health Care,Active,2023-03-14,,,,,
Lendable,https://www.crunchbase.com/organization/lendable,1611457994,USD,1611457994,Private,Venture - Series Unknown,101-250,"Banking, Financial Services, FinTech, Payments","London, England, United Kingdom",Lendable is a peer-to-peer lending platform that provides instant paperless loans.,,,"Jakob Schwarz, Martin Kissinger, Paul Pamment, Victoria van Lennep",https://www.lendable.co.uk,For Profit,contact@lendable.co.uk,http://www.linkedin.com/company/lendable,"Lendable is a lending platform. When you borrow money, it comes straight from an investor. Unlike banks, who hand out loans from piles of cash they look after on behalf of savers. Their platform is super-fast (you’ll see in a moment), and makes lending as hassle- free as possible. It’s a matter of a few clicks and you get your quote. Unlike banks, who require paperwork and run expensive branch networks.",,2014-01-01,year,210000000,GBP,275153627,"Financial Services, Lending and Investments, Payments",Active,2022-03-10,,,,,
Yoti,https://www.crunchbase.com/organization/yoti,26000000,GBP,32689630,Private,Venture - Series Unknown,101-250,"Biometrics, E-Signature, Identity Management, Information Technology, Software","London, England, United Kingdom","Yoti is a digital identity platform that provides secure identity verification, online and in person.",,,"Duncan Francis, Noel Hayden, Robin Tombs",https://www.yoti.com,For Profit,hello@yoti.com,https://www.linkedin.com/company/yoti-digital-identity/,"Yoti is a digital identity technology company that makes it easier for people to prove their identity by verifying identities and trusted credentials both online and in person. It offers verification solutions all over the world, including identity verification, age verification, document eSigning, access management, and authentication, as well as leading facial age estimation.  Yoti's ID Verification Services are ISO/IEC 27001:2013 certified, and its technical and organizational security processes are ISAE 3000 (SOC 2) Type 2 certified.",,2014-04-01,day,10000000,GBP,11922759,"Biotechnology, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",Active,2023-03-09,,,,,
5ire,https://www.crunchbase.com/organization/5ire,121000000,USD,121000000,Private,Series A,51-100,"Blockchain, Cryptocurrency, Developer APIs, Information Technology, Virtual Currency","London, England, United Kingdom","5ire is a blockchain network that brings sustainability, technology, and Innovation to build the 5th industrial revolution (5IR).",,,"Prateek Dwivedi, Pratik Gauri, Vilma Mattila",http://5ire.org,For Profit,contact@5ire.org,https://www.linkedin.com/company/5irechain,"5ire is a blockchain network that brings sustainability, technology, and Innovation to build the 5th industrial revolution (5IR). The mission of the 5ire ecosystem is to embed the for-benefit paradigm at the heart of the blockchain, highly incentivize practices that align with the United Nations Sustainable Development Goals (SDGs), facilitate the transition from the 4IR to 5IR and accelerate the implementation of the UN 2030 Agenda for Sustainable Development. The company's primary offering is 5ireChain, a layer one, sustainability-driven 5th generation blockchain that ensures adherence to the philosophy of 5IR, creating a net positive impact on the planet and serving humanity.",,2021-01-01,year,100000000,USD,100000000,"Financial Services, Information Technology, Other, Payments, Software",Active,2022-07-14,,,,,
Bink,https://www.crunchbase.com/organization/bink,34477317,USD,34477317,Private,Venture - Series Unknown,101-250,"FinTech, Mobile Apps, Mobile Payments","Ascot, Windsor and Maidenhead, United Kingdom",Bink offers loyalty and payment solutions for businesses and consumers.,,,"Greg Gormley, Lee Clarke",https://www.bink.com,For Profit,retail@bink.com,https://www.linkedin.com/company/bink,"Bink develops a mobile application that links card payments to loyalty schemes. It allows consumers to register their debit or credit cards and link them to various loyalty schemes. They offer card linking through your app and website. Their payment-linked solution allows retailers to instantly recognize and reward customers when they shop, driving deeper insights and lasting connections.",,2014-01-01,year,9000000,GBP,11096726,"Apps, Financial Services, Mobile, Payments, Software",Active,2023-03-28,,,,,
Too Good To Go,https://www.crunchbase.com/organization/too-good-to-go,45704853,USD,45704853,Private,Venture - Series Unknown,1001-5000,"Food and Beverage, Software, Waste Management","London, England, United Kingdom",Too Good To Go develops an app for fighting food waste and saving delicious food.,,,"Chris Wilson, Jamie Crummie",https://toogoodtogo.co.uk,For Profit,info@toogoodtogo.co.uk,,"Too Good To Go develops an app for fighting food waste and saving delicious food. Through the app, everybody can make a difference by saving perfectly good, delicious food from going in the bin. Its mission is to reduce food waste worlwide and their vision is to create a world where food produced is food consumed. Too Good To Go empowers everyone to take action against food waste. It was founded in 2015 and is based in London, United Kingdom.",Less than $1M,2015-01-01,year,,,,"Food and Beverage, Software, Sustainability",Active,2022-07-01,,,,,
Deep Render,https://www.crunchbase.com/organization/deep-render,10979801,USD,10979801,Private,Series A,11-50,"Artificial Intelligence, Information Technology, Machine Learning","London, England, United Kingdom",Deep Render is developing the next generation of media compression algorithms.,,,"Arsalan Zafar, Christian Besenbruch",https://www.deeprender.ai,For Profit,contact@deeprender.ai,https://www.linkedin.com/company/deeprenderltd,"Deep Render Ltd. is a spin-out from the Department of Computing at Imperial College London. We are a London based AI start-up that is developing the next generation of media compression algorithms. Our proprietary and patented technology is at the forefront of machine learning research. Furthermore, our Biological Image Compression results are  state-of-the-art, providing at least a 50% efficiency gain over the previous standards",$1M to $10M,2017-10-17,day,6300000,USD,6300000,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Active,2023-03-29,,,,,
Adludio,https://www.crunchbase.com/organization/future-ad-labs,24168162,USD,24168162,Private,Series A,51-100,"Advertising, Advertising Platforms, Mobile Advertising","London, England, United Kingdom",Adludio is the AI-powered platform that delivers interactive mobile advertising.,,,"Andy Williams, Ben Hoyle, Howard Kingston, Jacques Kotze",https://adludio.com/,For Profit,info@adludio.com,https://www.linkedin.com/company/adludio/,"Adludio is the AI-powered platform that delivers interactive mobile advertising. By using data to design your ad creative, and algorithms to optimize your campaigns, Adludio makes sure you win the battle for brand attention We create, deliver and optimize advertising campaigns at scale, using mobile-first creative technology, data and algorithms to deliver amazing creative and engage with audiences on their first screen. Adludio is a recognized leader in mobile brand advertising, and our clients include the world's biggest brands, including Nike, Microsoft, Chanel and LVMH, as well as some of the newer DTC challengers. We embrace diversity and a global outlook. Our offices are in New York, Los Angeles, London, Atlanta, Detroit, Chicago, Hong Kong, Taipei and Singapore, but we also have remote workforce operating from 17 countries. We maintain a start-up culture as we grow, where every employee believes in our vision and everyone has the opportunity to pitch in with their ideas. Adludio won 'Best Mobile Campaign' at The Drum APAC Awards in 2018. Recently, Adludio has been listed in The Sunday Times Tech Track 100 'Ones to Watch', and ranked in the Deloitte Fast 50 for the second year running, making it one of the fastest-growing Ad Tech companies in the UK. Adludio are creators of Sensory Ad Science,  mobile-first technique that is changing advertising for the better. They take the best of learning science and combine it with data science to deliver brand experiences that are compelling, effective and memorable.",,2015-01-01,year,2000000,GBP,2481660,"Advertising, Sales and Marketing",Active,2023-04-04,,,,,
Wirex,https://www.crunchbase.com/organization/wirex-limited,27768774,USD,27768774,Private,Series B,251-500,"Apps, Blockchain, Cryptocurrency, Financial Services, FinTech, Personal Finance","London, England, United Kingdom",Wirex is a digital payment platform that aims to make crypto and traditional currencies equal and accessible to everyone.,,,"Dmitry Lazarichev, Georgy Sokolov, Pavel Matveev",https://wirexapp.com,For Profit,company@wirexapp.com,https://www.linkedin.com/company/wirex-limited/,"Wirex is a worldwide digital payment platform and regulated institution that has forged new rules in the digital payments space. In 2015, the firm developed the world’s first crypto-enabled payment card that gives users the ability to seamlessly spend crypto and traditional currencies in real life.  Wirex was created in 2014 by CEOs and co-founders Pavel Matveev and Dmitry Lazarichev, who identified the need to open up the esoteric world of cryptocurrencies and make digital money accessible for everyone. With the core aim of making it as easy as possible to use digital assets in everyday life, Wirex provides a trusted and cost-effective service for crypto and traditional currency transactions by incorporating the next generation of payments infrastructure integrated with cryptocurrency blockchains.  With over 5 million customers across 130 countries, the company offers secure accounts that allow customers to easily store, buy and exchange multiple currencies instantly at the best live rates on one centralised mobile app. Quick and simple crypto transfer options are available, as well as the freedom to spend 150+ traditional and cryptocurrencies in more than 80 million locations around the world using the Wirex card.  Wirex continues to develop the product in line with market developments, whilst adhering to regional regulations and securing appropriate licensing where it exists. A proven industry pioneer, Wirex launched their own native utility token, WXT, and introduced the world’s first crypto reward programme, Cryptoback™, which earns cardholders up to 8% back in WXT for every transaction they make.  To reflect the growth of the metaverse, throughout 2021, the company has expanded their product to enable mainstream access to DeFi. Starting with the launch of their popular X-Accounts feature, offering unprecedented levels of interest, Wirex has continued to add to their DeFi arsenal with the release of the non-custodial Wirex Wallet and a partnership with Nereus, a decentralised liquidity market.   Wirex is based in London, with offices in Singapore, Kyiv, Dallas, Dublin and Atlanta. With over $5bn worth of transactions processed already and rapid expansion into new territories, including the US, Wirex is uniquely placed to support and promote the mass adoption of a cashless society through creative solutions.",,2014-12-01,day,15000000,GBP,19907628,"Apps, Financial Services, Other, Payments, Software",Active,2021-12-10,,,,,
Valve,https://www.crunchbase.com/organization/valve,4500000,USD,4500000,Private,Seed,1-10,Software,"London, England, United Kingdom",Valve is the global industry system for flexible workspaces.,,,,https://www.valvespace.com/,For Profit,,,"Valve provides industry-leading sales, marketing, and distribution solutions for landlords, operators, and brokerages transacting in the flexible workspace market.",$1M to $10M,2019-01-01,year,4500000,USD,4500000,Software,Active,2022-09-15,,,,,
