Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Argent,https://www.crunchbase.com/organization/argent,56211318,USD,56211318,Private,Series B,11-50,"Blockchain, Cryptocurrency, Identity Management, Mobile Apps","London, England, United Kingdom",Argent provides a smart wallet for cryptocurrencies and blockchain applications.,,,"Gerald Goldstein, Itamar Lesuisse, Julien Niset",http://www.argent.xyz,For Profit,,https://www.linkedin.com/company/argenthq/,"Argent is the most simple and secure smart wallet for crypto. It does everything you'd expect from a bank (and more). Without the bank. Earn interest and invest; borrow, store and send. Access DeFi and Dapps in a few taps.  Argent was founded in 2017 and is headquartered in London.",$10M to $50M,2017-01-01,year,40000000,USD,40000000,"Apps, Financial Services, Information Technology, Mobile, Other, Payments, Privacy and Security, Software",Active,2022-04-28,,,,,
Quantum Motion,https://www.crunchbase.com/organization/quantum-motion-technologies,50000000,GBP,60645435,Private,Series B,11-50,"Electronics, Hardware, Quantum Computing","London, England, United Kingdom","Quantum Motion is building a universal quantum computer in Silicon, using CMOS compatible processes.",,,"John Morton, Simon Benjamin",http://www.quantummotion.tech,For Profit,webquery@quantummotion.tech,https://www.linkedin.com/company/quantum-motion-tech/,"Quantum Motion Technologies is building a universal quantum computer in Silicon, using CMOS compatible processes.",,2017-07-01,month,42000000,GBP,50858232,"Consumer Electronics, Hardware, Science and Engineering",Active,2023-02-21,,,,,
SolasCure,https://www.crunchbase.com/organization/solascure,25900000,GBP,34172899,Private,Series B,11-50,"Biopharma, Biotechnology, Health Care, Medical","Cambridge, Cambridgeshire, United Kingdom","Solascure is a biotechnology company focused on the development of fit for purpose, efficacious wound care products.",,,"Benjamin Newmark, Sam Bakri",https://solascure.com/,For Profit,info@solascure.com,https://www.linkedin.com/company/solascure/,SolasCure aims to support healthcare professionals with wound care products that significantly improve the health and wellbeing of patients with chronic wounds.,,2017-06-20,day,10900000,GBP,13403144,"Biotechnology, Health Care, Science and Engineering",Active,2023-03-27,,,,,
causaLens,https://www.crunchbase.com/organization/causalens,50943244,USD,50943244,Private,Series A,51-100,"Artificial Intelligence, Big Data, Machine Learning, Software","London, England, United Kingdom",CausaLens is a casual AI software company that develops intelligent machines.,,,"Darko Matovski, Maksim Sipos",https://www.causalens.com,For Profit,info@causalens.com,https://www.linkedin.com/company/causalens,"causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.  We build Causal AI-powered products that are trusted by leading organizations across a wide range of industries. Our No-Code Causal AI Platform empowers all types of users to make superior decisions through an intuitive user interface. We are creating a world in which humans can trust machines with the greatest challenges in the economy, society and healthcare.",,2017-04-01,day,40310000,EUR,44943243,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Active,2022-01-28,,,,,
Marshmallow,https://www.crunchbase.com/organization/marshmallow,116200000,USD,116200000,Private,Series B,101-250,"Finance, Financial Services, FinTech, Insurance, InsurTech","London, England, United Kingdom",Marshmallow is a full-stack insurance carrier driven by technology.,,,"Alexander Kent-Braham, David Goate, Oliver Kent-Braham",https://www.marshmallow.com,For Profit,hello@marshmallow.com,https://www.linkedin.com/company/marshmallow-technology-ltd,"Marshmallow is an insurtech. Being one of the only EU based insurtechs to own their own insurance company - they have total control of the entire value chain, from sign-up and pricing through to claims affording them the unrivalled ability to deliver an exceptional customer experience. Operating in an archaic industry worth trillions of dollars Marshmallow started by doing car insurance in the UK but will offer multiple insurance products in multiple geographies - all driven by technology. They have raised over $100m to date from top tier investors.",$10M to $50M,2017-05-01,month,85000000,USD,85000000,Financial Services,Active,2021-09-07,,,,,
IMMO Capital,https://www.crunchbase.com/organization/immo-capital,90717792,USD,90717792,Private,Series B,101-250,"FinTech, Real Estate","London, England, United Kingdom","Next-gen residential real estate portfolios. Powered by machines, managed by experts.",,,"Avinav Nigam, Hans-Christian Zappel, Samantha Kempe, Wouter Van Der Gaag",https://immo.capital/,For Profit,hello@immo.capital,https://www.linkedin.com/company/immoinvesttech/,"IMMO Capital is Europe’s first technology-led residential real estate platform, designed to create portfolios of quality from existing single-family rental (SFR) assets at speed and scale. We have built a unique capability in the form of an end-to-end service solution, providing institutional partners with everything from sourcing, acquisition and portfolio management through to lettings and property management, enabling them to drive performance and maximise returns. Founded in 2017, IMMO Capital has assembled an experienced team of 100+ which includes successful entrepreneurs and industry leaders with expertise from McKinsey, Goldman Sachs, Blackstone, Uber, HSBC, Amazon, Procter & Gamble, BlackRock, Morgan Stanley, Google, WeWork and many more. We have an established presence in the UK, Germany and India and have been awarded “Tech Pioneer” by the World Economic Forum.",Less than $1M,2017-08-01,month,75000000,USD,75000000,"Financial Services, Real Estate",Active,2022-04-11,,,,,
Papercup,https://www.crunchbase.com/organization/papercup-ai,33234603,USD,33234603,Private,Series A,51-100,"Artificial Intelligence, Digital Media, Media and Entertainment, Music, Video","London, England, United Kingdom",Papercup translates videos using AI by generating voices that sound like the original speaker,,,"Jesse Shemen, Jiameng Gao",https://www.papercup.com/,For Profit,amir@papercup.com,https://www.linkedin.com/company/papercup-ai/,"Papercup automates large parts of the dubbing process so content owners can localize their videos at scale, faster and at a fraction of the price of traditional methods. Our AI voices are indistinguishable from human's and our human-in-the-loop system means professional translators quality check all voiceovers for utmost accuracy.",,2017-12-01,month,20000000,USD,20000000,"Artificial Intelligence, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video",Active,2022-06-09,,,,,
Aztec,https://www.crunchbase.com/organization/aztec-protocol,119064647,USD,119064647,Private,Series B,11-50,"Blockchain, Ethereum, Privacy, Software","London, England, United Kingdom",Aztec develops an ethereum trading protocol that enables private transactions across the public blockchain.,,,"Joe Andrews, Thomas Pocock, Zachary Williamson",https://aztec.network,For Profit,,https://www.linkedin.com/company/aztec-protocol/,"Aztec develops an ethereum trading protocol that enables private transactions across the public blockchain. Its renowned research team is the force behind PLONK, the lightning-fast standard in zero-knowledge technologies. The team has brought multiple R&D breakthroughs to Layer 2 on Ethereum and has deep experience in deploying complex cryptosystems to Web3.",,2017-01-01,year,82000000,GBP,99964646,"Other, Privacy and Security, Software",Active,2022-12-15,,,,,
Element,https://www.crunchbase.com/organization/new-vector-im,96200000,USD,96200000,Private,Series B,11-50,"Apps, Commercial, Communications Infrastructure, Information Technology, Software, VoIP","London, England, United Kingdom","Element builds secure, self-sovereign chat apps and collaboration solutions using the open Matrix protocol.",,,"Amandine Le Pape, Matthew Hodgson",https://element.io,For Profit,contact@vector.im,https://www.linkedin.com/company/element-hq,"Element provides services for custom development, prioritised roadmap development, support contracts and commercial products for Matrix. The company enables governments, businesses and individuals to run their own secure communication infrastructure while interconnecting via the global Matrix network. New Vector, a European startup founded in 2017 by the creators of an open, decentralized communications standard called Matrix to drive adoption and grow an ecosystem around an alternative messaging protocol for instant messaging and VoIP apps. The company, which is based in London, England, was set out as a kind of Slack/Discord rival that was a native messaging platform on top of Matrix.",$1B to $10B,2017-07-19,day,30000000,USD,30000000,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software",Active,2021-07-27,,,,,
Huboo,https://www.crunchbase.com/organization/huboo,75000000,GBP,100785069,Private,Series B,501-1000,"E-Commerce, Logistics, Marketplace, Supply Chain Management","Bristol, Bristol, City of, United Kingdom",Huboo is an eCommerce fulfilment partner using great people and smart technology to enable businesses to grow.,,,"Martin Bysh, Paul Dodd",https://www.huboo.com,For Profit,marketing@huboo.co.uk,https://www.linkedin.com/company/huboo-fulfilment,"Huboo is an eCommerce fulfilment partner using great people and smart technology to enable businesses to grow. We came to market because we could see an opportunity to do things differently. Our unique hub model creates service-led micro warehouses, putting people at the heart of an industry not known for it. For our clients that means higher quality service, and a human approach supported by flexible, end-to-end technology. We enable startups and SMEs to outsource the complications of fulfilment, effortlessly integrating with the world’s most popular sales channels and marketplaces.  For large and enterprise businesses, our tailored solutions adapt to the speed and scale modern business demands, driving efficiency and growth. From our technology, to our warehouses, to our people, we help your business grow in the right way. Businesses grow with Huboo",,2017-01-01,year,60000000,GBP,81546003,"Commerce and Shopping, Transportation",Active,2021-10-06,,,,,
Raft (FKA Vector.ai),https://www.crunchbase.com/organization/vector-ai,17870000,USD,17870000,Private,Series A,51-100,Logistics,"London, England, United Kingdom",The Intelligent Freight Command Center,,,"James Coombes, Nisarg Mehta",https://www.raft.ai/,For Profit,contact@raft.ai,https://www.linkedin.com/company/raft-ai/,"Raft's solution will use artificial intelligence to understand, triage and act on incoming shipment data, saving HBI’s operators countless hours chasing information, manually keying into systems and reconciling against downstream systems. The platform’s real-time, continuous processing will enable HBI operators to handle shipments more quickly and with more certainty for their customers. Raft was established in October 2017 by James Coombes and Nisarg Mehta in England, United Kingdom.",,2017-10-01,month,15000000,USD,15000000,Transportation,Active,2021-09-13,,,,,
Logically,https://www.crunchbase.com/organization/the-logic-ally,36723285,USD,36723285,Private,Series A,101-250,"Artificial Intelligence, Machine Learning, Natural Language Processing, Social Entrepreneurship, Software","London, England, United Kingdom",Logically combines artificial intelligence with expert analysts to reduce the harms caused by mis- and disinformation at speed and at scale.,,,Lyric Jain,https://www.logically.ai/,For Profit,contact@logically.co.uk,https://www.linkedin.com/company/joinlogically/,"Logically combines artificial intelligence with expert analysts  to reduce the individual, institutional, and societal damage caused by misleading and deceptive online discourse. Working with governments and organisations around the world, Logically's unique combination of artificial and expert intelligence means we can apply scale and nuance to the problems of mis- and disinformation, detecting, triaging, and responding to issues, as well as predicting and preventing emerging threats.",$10M to $50M,2017-06-07,day,24000000,USD,24000000,"Artificial Intelligence, Community and Lifestyle, Data and Analytics, Science and Engineering, Software",Active,2022-03-16,,,,,
Circulor,https://www.crunchbase.com/organization/circulor,34550000,GBP,44884284,Private,Series B,51-100,"Artificial Intelligence, Blockchain, CleanTech, GreenTech, Supply Chain Management","London, England, United Kingdom",Circulor is a blockchain sustainability company that offers traceability-as-a-service and supply chain solutions for manufacturers.,,,"Douglas Johnson-Poensgen, Veera Johnson",https://circulor.com,For Profit,info@circulor.com,https://www.linkedin.com/company/circulor,"Circulor uses blockchain and AI to cut the cost of traceability and due diligence in raw materials supply chains. Its pioneer customers include car manufacturers, EV battery manufacturers, commodity traders, and miners who collectively want to pioneer more effective approaches to responsible sourcing. Circulor was founded in 2017 and is headquartered in London, England.",,2017-10-01,day,20550000,GBP,25045459,"Artificial Intelligence, Data and Analytics, Other, Science and Engineering, Software, Sustainability, Transportation",Active,2022-06-28,,,,,
Duffelhq,https://www.crunchbase.com/organization/duffelhq,56200000,USD,56200000,Private,Series B,51-100,"Developer APIs, Internet, Tourism, Travel","London, England, United Kingdom","We offer a powerful API that enables any travel business to search, book.",,,Steve Domin,http://www.duffelhq.com,For Profit,hello@duffel.com,https://www.linkedin.com/company/duffelhq,"Duffel provides an online platform that allows users to search, book, and manage flights from multiple airlines. It is dedicated to helping businesses of every size to provide flight booking experiences to their customers. The platform allows users to search for flights with real-time pricing and availability, increase revenue with ancillaries like baggage and lounge access, manage customer refunds and cancellations, and integrate with its API or ready-to-go agent booking tool. The company was founded in 2017 and is headquartered in London, England.",,2017-01-01,year,30000000,USD,30000000,"Internet Services, Software, Travel and Tourism",Active,2019-10-28,,,,,
Antiverse,https://www.crunchbase.com/organization/antiverse,4260000,GBP,5200674,Private,Seed,1-10,"Artificial Intelligence, Biotechnology, Health Care, Life Science, Machine Learning","Cardiff, Cardiff, United Kingdom",Antiverse is dedicated to engineering the future of drug development to change the course of people's lives.,,,"Ben Holland, Murat Tunaboylu, Rowina Westermeier",http://antiverse.io,For Profit,info@antiverse.io,https://www.linkedin.com/company/11126341/,"Antiverse is a new type of antibody discovery company accelerating drug development. Its platform exists at the intersection of structural biology, machine learning, and medicine to enable breakthroughs to happen more quickly and cost-effectively. It is dedicated to engineering the future of drug development to change the course of people's lives.",,2017-04-01,month,2500000,GBP,2787499,"Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Active,2022-10-01,,,,,
SteelEye,https://www.crunchbase.com/organization/steeleye,38314411,USD,38314411,Private,Series B,101-250,"Analytics, Financial Services, FinTech, Information Technology","London, England, United Kingdom","SteelEye develops a holistic compliance platform for record keeping, surveillance, and intelligent insights.",,,"David Haines, Matt Smith, Matt Storey, Shankar Vasudevan",https://www.steel-eye.com,For Profit,info@steel-eye.com,https://www.linkedin.com/company/steeleye,"SteelEye develops a holistic compliance platform for record-keeping, surveillance, and intelligent insights. The platform helps in capturing, indexing, and analyzing vast volumes of clients' structured and unstructured data from a range of sources. The company's mission is to help to establish and maintain trust in the financial markets by making it easy for clients to accurately comply with financial regulations.",,2017-10-03,day,21000000,USD,21000000,"Data and Analytics, Financial Services, Information Technology",Active,2022-09-08,,,,,
Tymit,https://www.crunchbase.com/organization/tymit,73000000,GBP,93862777,Private,Series A,101-250,"Credit, Credit Cards, Financial Services, Payments, Personal Finance","London, England, United Kingdom","Tymit is a credit company that offers traditional credit cards and a buy now, pay later service.",,,"Juan Montalvo Bressi, Martin Magnone, Nicolas Magnone",https://www.tymit.com,For Profit,hello@tymit.com,https://www.linkedin.com/company/tymit,"Tymit is a credit company that offers traditional credit cards and a buy now, pay later service. It helps to potentially provide a better option compared with the incumbent services, which could result in a higher risk of debt problems. The company's card is made by leveraging updated technology that offers financial flexibility to change payment plans, no hidden fees or sneaky terms that expire without notice, enabling customers to get a credit card that is economical, transparent, flexible, and feasibly available anywhere when needed.",,2017-06-20,day,23000000,GBP,26769897,"Financial Services, Lending and Investments, Payments",Active,2022-10-26,,,,,
CybSafe,https://www.crunchbase.com/organization/cybsafe,40186015,USD,40186015,Private,Series B,11-50,"Analytics, Cyber Security, Network Security, Software","London, England, United Kingdom",CybSafe is a data analytics and behavioral security platform that assists people in making better security decisions.,,,"Oz Alashe, Sean Lumley",https://www.cybsafe.com,For Profit,hello@cybsafe.com,https://www.linkedin.com/company/cybsafe-limited/,"CybSafe is cyber security software that educates, nudges, and provides real-time, tailored cyber assistance to users via a mobile and web app. The platform for behavioral security and data analytics assists people in making better security decisions and improving their security behavior. It also provides metrics for security behavior, culture, and risk reporting, allowing organizations to anticipate security issues. CybSafe is built on a data-driven model of human behavior and makes use of SebDB, the world's most comprehensive security behavior database.",,2017-04-01,month,28000000,USD,28000000,"Data and Analytics, Information Technology, Privacy and Security, Software",Active,2022-06-06,,,,,
SEDNA,https://www.crunchbase.com/organization/sedna-systems-pte-ltd,44000000,USD,44000000,Private,Series B,51-100,"Communications Infrastructure, Document Management, Email, SaaS, Software","London, England, United Kingdom",SEDNA is an Intelligent Communications System that serves as the primary digital workspace for teams working on complex projects.,,,Bill Dobie,https://www.sedna.com,For Profit,hello@sedna.com,https://www.linkedin.com/company/sedna-systems,"SEDNA is email reimagined, built with intelligence and team collaboration at its core. Emails and communication are enriched in real time with information about the projects and transactions they’re related to. Within SEDNA’s digital workspace, individuals can seamlessly collaborate and execute with increasing speed while delivering a single source of truth for the whole organization through one integrated system.",,2017-05-01,month,34000000,USD,34000000,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",Active,2021-07-26,,,,,
Gearset,https://www.crunchbase.com/organization/gearset,55000000,USD,55000000,Private,Private Equity,101-250,"Developer Platform, Developer Tools, Internet, SaaS, Sales Automation, Software","Cambridge, Cambridgeshire, United Kingdom",Setting the standard for Salesforce DevOps,,,"Kevin Boyle, Matt Dickens",https://gearset.com,For Profit,sales@gearset.com,https://www.linkedin.com/company/gearset,"We launched Gearset when we saw how lacklustre DevOps was preventing teams from taking full advantage of Salesforce. We’d experienced first-hand how Salesforce allowed anyone to become a Trailblazer and build amazing apps, but then left you stranded, with only Change Sets or complex command lines to get your work to users. Gearset makes DevOps on Salesforce as simple as everything else on Salesforce. Starting with release management, we’ve developed Gearset into the comprehensive DevOps tool it is today by focusing relentlessly on two things: simplicity and deployment success. Gearset’s core deployment engine makes sure more of your deployments work, first time. We’ve built the exceptional team you see below to ensure the deployment engine gets smarter and smarter, the more people use the app. Over the past four years, our team has obsessively used customer feedback to drive Gearset’s daily releases, building a platform that can handle even the most complex ALM workflows. Gearset’s integrations with leading providers such as GitHub, Azure DevOps and Atlassian mean you’re getting the best of breed in all aspects of your pipeline. Gearset is now the leading DevOps tool for Salesforce. It scales from teams first dipping their toes into DevOps right through to teams of hundreds of people making the most of parallel development and continuous delivery.",,2017-01-01,year,55000000,USD,55000000,"Information Technology, Internet Services, Sales and Marketing, Software",Active,2022-06-22,,,,,
Arbolus,https://www.crunchbase.com/organization/collective-iq-group-ltd,24246770,USD,24246770,Private,Series A,101-250,"Information Technology, Knowledge Management","London, England, United Kingdom",Arbolus is a networking platform that uses technology to help build and maintain advisory relationships.,,,"Sam Glasswell, Will Leeming",https://www.arbolus.com,For Profit,contact@arbolus.com,https://www.linkedin.com/company/arbolus/,"Arbolus is a networking platform that uses technology to help build and maintain advisory relationships. The company works with more than 80 customers, including Big Four firms such as KPMG, leading global strategy consultancies and the world’s most innovative companies such as UiPath.",$1M to $10M,2017-08-01,day,12000000,GBP,14957930,"Administrative Services, Information Technology, Other",Active,2022-04-28,,,,,
