Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Wayhome,https://www.crunchbase.com/organization/unmortgage,21093198,GBP,26548351,Private,Series A,51-100,"Finance, Financial Services, FinTech, Property Management, Real Estate","London, England, United Kingdom",Wayhome offers a completely debt-free way to buy a home with just a 5% deposit and no mortgage.,,,"Josef Wasinski, Nigel Purves, Ray Rafiq Omar",https://wayhome.co.uk,For Profit,hello@wayhome.co.uk,https://www.linkedin.com/company/wayhomeuk/,"Wayhome operates in the Property sector (Digital B2C). It offers a completely debt-free way to buy a home with just a 5% deposit and no mortgage. It also allows pension funds to invest in owner-occupied residential property, earning inflation-linked rent on the portion the occupier does not own. It is a win-win situation for both homeowners and investors. Wayhome was founded in 2016 and is based in London, England.",$10M to $50M,2016-09-27,day,8000000,GBP,9970325,"Financial Services, Real Estate",Active,2023-04-27,,,,,
Guild,https://www.crunchbase.com/organization/guild-742d,3620000,GBP,4850451,Private,Seed,1-10,"Communities, Messaging, Mobile Apps, Private Social Networking, Professional Networking, Telecommunications","London, England, United Kingdom",Guild is the platform for professional communities and networking.,,,"Ashley Friedlein, Matthew O'Riordan",https://guild.co/,For Profit,ashley@guild.co,https://www.linkedin.com/company/tryguild/,Guild - professional communities and networking for the mobile age.  The simplicity of ​mobile ​messaging but built on a powerful community platform with its own high quality professional network to tap into. Guild: The Power of Professional Community.,,2016-07-01,day,1940000,GBP,2693688,"Apps, Community and Lifestyle, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Professional Services, Software",Active,2021-06-25,,,,,
By Miles,https://www.crunchbase.com/organization/by-miles,21274000,GBP,26584636,Private,Series B,51-100,"Auto Insurance, Insurance, InsurTech","London, England, United Kingdom","By Miles is reinventing car insurance - pay an annual cost to cover your car while it's parked, then pay by the miles you drive each month.",By Miles acquired by Direct Line Group,https://www.crunchbase.com/acquisition/direct-lineinsurance-acquires-by-miles--2ec4a412,"Callum Rimmer, James Blackham",https://www.bymiles.co.uk,For Profit,hello@bymiles.co.uk,https://www.linkedin.com/company/bymiles,"By Miles offers fairer, more flexible car insurance for low mileage drivers. Aside from a fixed annual cost, each policy is paid by the mile so it's totally tailored to you. See every journey and use handy tools in their mobile app to make your driving life easier.",$1M to $10M,2016-09-01,day,15000000,GBP,18249085,Financial Services,Active,2020-05-22,,,,,
Recognise Bank,https://www.crunchbase.com/organization/recognise-bank-ltd,47700000,GBP,60760485,Private,Venture - Series Unknown,51-100,"Banking, Finance, Financial Services","London, England, United Kingdom",Recognise Bank is digital SME bank providing commercial lending and savings accounts for business and personal savers.,,,Jason Oakley,https://www.recognisebank.co.uk,For Profit,paul.beadle@recognisebank.co.uk,https://www.linkedin.com/company/recognisebank,"Recognise Bank is a fully licensed financial institution that aims to help consumers accomplish their financial goals by providing innovative financing alternatives and outstanding service. The bank takes pleasure in offering customized and adaptable financing alternatives to businesses, as well as competitive savings accounts that are FSCS-protected to both people and corporations.",,2016-01-01,year,25000000,GBP,30683995,"Financial Services, Lending and Investments",Active,2023-03-20,,,,,
Kroo,https://www.crunchbase.com/organization/b-social,71512349,USD,71512349,Private,Series B,51-100,"Financial Services, FinTech, Mobile Apps, Payments","London, England, United Kingdom",Kroo is a financial technology company that develops a mobile payment application to simplify cashless transactions.,,,"Nazim Valimahomed, Tim Brown",https://kroo.com,For Profit,marketing@b-social.com,https://www.linkedin.com/company/b-social-ltd/,"Kroo is a financial technology company that develops a mobile payment application to simplify cashless transactions. The company's product range is a prepaid debit card and app that enable customers to easily create groups with friends, track spending, and split and pay bills quickly and securely. Kroo was founded in 2016 and is headquartered in London, England.",$1M to $10M,2016-01-01,year,26000000,GBP,32784942,"Apps, Financial Services, Mobile, Payments, Software",Active,2022-05-31,,,,,
FrontM,https://www.crunchbase.com/organization/frontm,3704671,USD,3704671,Private,Seed,11-50,"Information Technology, Marketplace, Software","London, England, United Kingdom","FrontM provides a private-labeled application marketplace for airlines, cruises, shipping, and remote enterprises.",,,"Guillermo Acilu, Kiran Venkatesh",http://www.frontm.com,For Profit,info@frontm.com,https://www.linkedin.com/company/21330856/,"FrontM is a technology startup that provides a private-labeled application marketplace for airlines, cruises, shipping, and remote enterprises. It is a distributed AI, data-optimized platform with its own developer tool kit and front end SDK. It provides a programmable AI application platform for environments with internet connection constraints. FrontM was founded in 2016 and is headquartered in London, England.",,2016-01-06,day,1500000,USD,1500000,"Commerce and Shopping, Information Technology, Software",Active,2023-03-14,,,,,
Accurx,https://www.crunchbase.com/organization/accurx-2,36635000,GBP,49996380,Private,Series B,101-250,"Computer, Health Care, Information Technology, Internet, Software","London, England, United Kingdom","Accurx is on a mission to make patients healthier and healthcare staff happier, through seamless communication.",,,"Jacob Haddad, Laurence Bargery",http://www.accurx.com/,For Profit,enquiries@accurx.com,https://www.linkedin.com/company/accurx/,"Accurx is where conversations happen with and about patients. Through one, easy-to-use platform, we help everyone involved in a patient’s care to communicate and collaborate. Whether you’re a patient or a healthcare professional, Accurx lets you connect seamlessly with the people you need to. You can use Accurx to: send SMS messages and medical surveys, provide appointment reminders and referrals, hold video consultations, and manage virtual wards, outpatient clinics and follow-up pathways. Accurx is used by 98% of GP practices and in 50% of NHS trusts.",,2016-05-17,day,27500000,GBP,38084739,"Consumer Electronics, Hardware, Health Care, Information Technology, Internet Services, Software",Active,2021-09-15,,,,,
iSIZE Technologies,https://www.crunchbase.com/organization/isize-technologies,5815000,GBP,7942415,Private,Series A,11-50,"Artificial Intelligence, Information Technology, Machine Learning, Software, Video, Video on Demand, Video Streaming","London, England, United Kingdom",iSIZE Technologies is a company to delivers deep neural networks for data-driven video preprocessing.,,,"Sergio Grce, Yiannis Andreopoulos",https://www.isize.co,For Profit,info@isize.co,https://www.linkedin.com/company/isize.co/,"iSIZE Technologies is a company to delivers deep neural networks for data-driven video preprocessing in order to provide significant bitrate savings over any standard encoder, or significant quality improvement at the same bitrate. This will also allow for other advanced ai services like automated tagging and recognition to run seamlessly in conjunction with live content delivery.",,2016-09-22,day,4500000,GBP,6252752,"Artificial Intelligence, Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Science and Engineering, Software, Video",Active,2021-05-06,,,,,
9fin,https://www.crunchbase.com/organization/9fin,37164459,USD,37164459,Private,Series A,51-100,"Analytics, Artificial Intelligence, Financial Services, FinTech, Machine Learning","London, England, United Kingdom","The leading data, news and predictive analytics platform for debt capital markets",,,"Huss EL-Sheikh, Steven Hunter",https://9fin.com,For Profit,,https://www.linkedin.com/company/9fin,"9fin uses artificial intelligence to automatically extract key information from bond & loan documentation. By making data easy to search, filter and analyse, 9fin helps fixed income professionals make better, smarter decisions. Our predictive analytics help forecast key capital markets events with a high degree of accuracy (100% record in 2018); these include defaults, ratings changes, refinancing & recapitalisation transactions. In 2019, 9fin's analytics, real-time news and comprehensive financial data has: - Helped Banks & Law firms win new mandates - Allowed Funds to spot trading opportunities / credit risk - Enabled Sponsors to extract maximum value from their portfolio Used by world leading banks, hedge funds and asset managers. Backed by leading VC funds & the only fintech in Europe accepted onto Google's AI residency program. Selected for IA Velocity program, first ever accelerator run by the Investment Association whose members manage £7.7 trillion AUM",,2016-10-28,day,23000000,USD,23000000,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",Active,2022-12-08,,,,,
Runa (formerly WeGift),https://www.crunchbase.com/organization/wegift,38350000,GBP,47188037,Private,Series B,101-250,"Consulting, Financial Services, Gift Card, Payments, Virtual Currency","London, England, United Kingdom","Runa is a digital value infrastructure that enables individuals and businesses to pay and get paid by anyone, anywhere, instantly.",,,Aron Alexander,https://runa.io/,For Profit,sales@runa.io,https://www.linkedin.com/company/runapayouts/,"Runa is pioneering a first-of-its-kind payment rail capable of sending and accepting digital value at scale. With Runa, companies can pay the people they serve in any form of digital value, anywhere, instantly. The Runa Network provides a wide range of digital payout types including gift cards, prepaid cards, subscriptions, donations, cryptocurrencies and more.  Legacy payment mechanisms struggle to adapt to low-volume, high-velocity transactions both locally and globally, such as sending payouts to gig workers, creators, or sending rewards to customers or employees wherever they are.  Runa’s infrastructure and network facilitates payouts to these recipients, helping businesses expand their reach, retain their users while modernizing the way in which they manage and transfer money: instantly, internationally, and free of charge for the senders and the recipient. Runa was established as WeGift in October 2016 by Aron Alexander in London, England.",,2016-10-01,month,26000000,GBP,30887003,"Commerce and Shopping, Financial Services, Payments, Professional Services, Software",Active,2022-11-15,,,,,
Fat Llama,https://www.crunchbase.com/organization/fat-lama,12957859,USD,12957859,Private,Series A,11-50,"Marketplace, Peer to Peer, Rental, Rental Property","London, England, United Kingdom","Fat Llama is a peer-to-peer rental marketplace which allows people to rent spare items to others nearby, fully insured.",Fat Llama acquired by Hygglo,https://www.crunchbase.com/acquisition/hygglo-acquires-fat-lama--feac250e,"Chaz Englander, Owen Turner-Major, Rosie Dallas",https://fatllama.com,For Profit,info@fatlama.com,https://www.linkedin.com/company/fat-lama/,"Fat Llama is the platform that lets you rent out your belongings to others nearby. Everyday, they connect people who need things, with others in their neighborhood that have it to lend. They believe in getting people to work together to make the world a more efficient place for everyone. So they are making it quick and easy for people to share their belongings. Their dream is a platform where all goods - from the everyday to the abstract - can be borrowed within minutes.",$1M to $10M,2016-01-08,day,10000000,USD,10000000,"Commerce and Shopping, Other, Real Estate",Active,2018-04-25,,,,,
G.Network,https://www.crunchbase.com/organization/g-network,1049675000,GBP,1402155566,Private,Corporate Round,101-250,"Communications Infrastructure, Wired Telecommunications","London, England, United Kingdom",G.Network is the next generation communications service provider exclusively focused on Central London.,,,"David Sangster, Sasho Veselinski",http://g.network,For Profit,support@g.network,https://www.linkedin.com/company/g-network-communications-ltd/,"G.Network is the next generation communications service provider exclusively focused on Central London. The company provides affordable ultra-fast (up to 10Gbps) fibre connectivity to businesses. We are building our own ‘Fibre to the Premises’ (FTTP) fibre optic network directly into premises across the Capital meaning we can offer unrivalled quality and speeds at affordable prices. Bridging the gap between constrained copper-based connectivity and expensive, long lead time leased lines, G.Network ‘s fibre–based connectivity will transform the way you do business.",Less than $1M,2016-01-01,year,300000000,GBP,403421010,"Hardware, Messaging and Telecommunications",Active,2020-12-15,,,,,
Previse,https://www.crunchbase.com/organization/previse,37825473,USD,37825473,Private,Series B,11-50,"Artificial Intelligence, Billing, Information Technology, Payments, Software","London, England, United Kingdom",Previse utilizes artificial intelligence to predict invoice payment decisions.,,,"Andre de Cavaignac, David Brown, Giulio Rossi, Paul Christensen, Philipp Schoenbucher",http://www.previ.se/,For Profit,help@previ.se,https://www.linkedin.com/company/previse/,"Previse uses Artificial Intelligence to enable corporate buyers to safely ensure they pay all their suppliers instantly. Paying all suppliers instantly eliminates their need to rely on expensive short term credit, lowering costs for buyers and giving SMEs the confidence to reinvest in growing their businesses, boosting the economy. Suppliers simply click to agree to instant payments. Previse then uses hundreds of millions of data points and sophisticated Artificial Intelligence algorithms to provide a score of a corporate buyer’s likelihood to pay the invoice. This allows funders to instantly release funds to the supplier to meet the invoice. Previse sits alongside funders’ existing payment technology. Its frictionless adoption requires no changes to either buyers’ or funders’ existing payment infrastructure or on-boarding of new processes or technologies.",$1M to $10M,2016-01-01,year,10000000,GBP,12839492,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Payments, Science and Engineering, Software",Active,2022-04-22,,,,,
Oddbox,https://www.crunchbase.com/organization/oddbox,25400093,GBP,33421481,Private,Equity Crowdfunding,51-100,"E-Commerce, E-Commerce Platforms, Food and Beverage, Grocery, Online Portals, Retail Technology","London, England, United Kingdom",Oddbox is a provider of fruit and veg box delivery service intended to reduce food waste.,,,"Deepak Ravindran, Emilie Vanpoperinghe",https://www.oddbox.co.uk,For Profit,hello@oddbox.co.uk,https://www.linkedin.com/company/oddbox,"Oddbox is London's first and only wonky and surplus veg box delivery scheme.  Oddbox is a social impact business fighting food waste in UK’s farms with innovative solutions and our first solution is London’s first wonky fruit and veg box scheme.  We buy fresh, wonky & surplus produce for a fair price directly from local farms and markets and deliver them in a weekly subscription box scheme to South London's homes and Central London's offices at 30% cheaper than similar box services. We donate 10% of our produce to charities that fight food poverty ",,2016-05-15,day,5620770,GBP,6931289,"Commerce and Shopping, Food and Beverage, Hardware, Internet Services, Software",Active,2023-01-24,,,,,
Molo,https://www.crunchbase.com/organization/molo-cb5c,270300000,GBP,351421683,Private,Debt Financing,11-50,"Artificial Intelligence, Financial Services, FinTech, Mobile, Predictive Analytics, Real Estate","London, England, United Kingdom","Molo is a digital mortgage platform that uses technology and AI to make home financing faster, better, and cheaper.",Molo acquired by Columbus Capital,https://www.crunchbase.com/acquisition/columbus-capital-acquires-molo-cb5c--2f1f3eb7,"Francesca Carlesi, Leo Grünstein",https://molofinance.com,For Profit,support@molofinance.com,https://www.linkedin.com/company/molofinance,"Molo is a fully-digital mortgage they transform the mortgage experience to make it faster, better, and cheaper for our customers by pioneering technology and AI, to ensure real-time decision-making and instant data validation, eliminating any paperwork, waiting time, and hassle. Direct-to-consumer and straight to the point.",,2016-12-01,month,250000000,GBP,324821283,"Artificial Intelligence, Data and Analytics, Financial Services, Mobile, Real Estate, Science and Engineering, Software",Active,2020-10-05,,,,,
Yoto,https://www.crunchbase.com/organization/yoto,20533864,USD,20533864,Private,Series A,51-100,"Audio, Audiobooks, Children, Content, EdTech, Hardware, Internet Radio, Music, Podcast","London, England, United Kingdom",Yoto - The screen-free audio platform for kids.,,,"Ben Drury, Filip Denker",https://uk.yotoplay.com,For Profit,hello@yotoplay.com,https://www.linkedin.com/company/yotoplay/,"The screen-free audio platform. Play music, stories and more with our audio player that children control with physical cards. Welcome to Audiotime®",,2016-01-01,year,17000000,USD,17000000,"Community and Lifestyle, Education, Hardware, Media and Entertainment, Music and Audio, Software",Active,2021-05-11,,,,,
Fly Now Pay Later,https://www.crunchbase.com/organization/fly-now-pay-later,177699278,USD,177699278,Private,Series A,51-100,"Consumer Lending, Credit, Payments, Travel","London, England, United Kingdom",Fly Now Pay Later is an embedded finance company developed exclusively for the travel industry.,,,"Enrico di San Marzano, Jasper Dykes, Stuart Jeffrey",https://www.flynowpaylater.com,For Profit,investorrelations@flynowpaylater.com,https://www.linkedin.com/company/flynowpaylater,"Fly Now Pay Later is an embedded finance company developed exclusively for the travel industry. We enable consumers to instantly spread the cost of their holiday, making travel more affordable and payment more flexible via our powerful two-sided network.",$1M to $10M,2016-01-01,year,10000000,USD,10000000,"Financial Services, Lending and Investments, Payments, Travel and Tourism",Active,2022-06-20,,,,,
Castore,https://www.crunchbase.com/organization/castore,61843734,USD,61843734,Private,Venture - Series Unknown,11-50,"Brand Marketing, Sports, Wearables","London, England, United Kingdom",Castore is a premium sportswear brand.,,,"Philip Beahon, Thomas Beahon",https://castore.com,For Profit,,https://www.linkedin.com/company/castore-sportswear/?originalSubdomain=in,"Castore has been created to bring a new level of performance to men’s sportswear. They are the world’s first premium sportswear brand specifically for men, targeting only the most discerning athletes who value the attention to detail and precision performance features that underpin all garments. The Castore brand DNA lies in an unrelenting focus on technical innovation to create the most advanced products for those individuals who simply cannot settle for second best.",,2016-01-01,year,57600000,USD,57600000,"Consumer Electronics, Hardware, Sales and Marketing, Sports",Active,2022-09-07,,,,,
Giraffe360,https://www.crunchbase.com/organization/giraffe360,28258631,USD,28258631,Private,Series A,101-250,"3D Technology, Commercial Real Estate, Information Technology, Photography, Real Estate","London, England, United Kingdom",Giraffe360 is a robotic technology company that offers 360° photography and virtual tour camera for real estate agents.,,,Mikus Opelts,http://giraffe360.com291,For Profit,enquiries@giraffe360.com,https://www.linkedin.com/company/giraffe360,"Giraffe360 is a robotic technology company that offers 360° photography and virtual tour camera for real estate agents. The company creates a product that would enable seamless property scans and elevate property purchases through a true-to-life online experience.  Giraffe360 was founded in 2016 and is headquartered in London, England.",,2016-09-19,day,13200000,GBP,15940315,"Content and Publishing, Hardware, Information Technology, Media and Entertainment, Real Estate, Software",Active,2022-11-30,,,,,
Vortexa,https://www.crunchbase.com/organization/vortexa,23988521,USD,23988521,Private,Convertible Note,51-100,"Analytics, Construction, Industrial, Trading Platform","London, England, United Kingdom",Shaping the future of energy markets,,,"Etienne Amic, Fabio Kuhn",http://www.vortexa.com/,For Profit,,https://www.linkedin.com/company/vortexa,Vortexa provides real-time information and analytics for crude oil and refined oil product flows.,,2016-01-01,year,,,,"Data and Analytics, Financial Services, Lending and Investments, Manufacturing, Real Estate",Active,2023-02-23,,,,,
Future Planet Capital,https://www.crunchbase.com/organization/future-planet-capital,4324545,GBP,5596863,Private,Series A,11-50,"Impact Investing, Venture Capital","London, England, United Kingdom",Future Planet is an impact-led venture capital firm that invests in technology and life science companies from leading research centres,,,Douglas Hansen-Luke,https://futureplanetcapital.com,For Profit,info@futureplanetcapital.com,https://www.linkedin.com/company/future-planet-capital,"Future Planet Capital is the global impact-led venture capital firm built to back growth companies from the world's top universities and research ecosystems. The group manages $380m for institutional investors and has invested in over 300 companies, with 60 successful exits. It's portfolio is built around breakthrough technologies solving global challenges in Climate, Health, Education, Sustainable Growth and Climate Change.",Less than $1M,2016-01-01,year,2783565,GBP,3713425,"Financial Services, Lending and Investments",Active,2021-11-28,,,,,
Impala,https://www.crunchbase.com/organization/impala-8f76,32870000,USD,32870000,Private,Series B,51-100,"Developer APIs, Hospitality, SaaS, Software","London, England, United Kingdom","Impala's API connects room sellers and hotels, instantly. We empower you to build, innovate and sell.",,,"Ben Stephenson, Charles Cowley",http://www.impala.travel,For Profit,info@impala.travel,https://www.linkedin.com/company/impala-hospitality-software/,"Our vision is to make every trip perfect. By building a future in which travel is seamless. Impala connects room sellers and hotels, instantly. We empower you to build, innovate and sell. We are the infrastructure that enables sellers to build better products, faster. Unlike bed-banks or affiliate schemes, you can get started in 30 seconds. Our Booking API is a mega-channel that attracts more bookings for hotels without having to pay integration fees or police rate parity.",$1M to $10M,2016-01-01,year,20000000,USD,20000000,"Software, Travel and Tourism",Active,2020-02-11,,,,,
AllPlants,https://www.crunchbase.com/organization/allplants,52800000,GBP,71644584,Private,Series B,101-250,"Delivery, Food and Beverage, Food Delivery, Nutrition","London, England, United Kingdom",AllPlants is a VC-backed B-Corp on a mission to become Earth’s most forward-thinking food company.,,,"Alex Petrides, Jonathan Petrides",https://www.allplants.com,For Profit,kitchen@allplants.com,https://www.linkedin.com/company/allplants/,"AllPlants operates as UK's vegan meal delivery service. All their packaging is 100% recyclable, partly compostable, and mostly reusable. They’re creating delicious dinners to inspire more plant-based living, so people + planet thrive together. To start that journey, They’re delivering their hand-prepared meals to doorsteps UK-wide.",,2016-01-01,year,38000000,GBP,52195866,"Administrative Services, Food and Beverage, Health Care, Transportation",Active,2021-10-18,,,,,
