Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Peppy,https://www.crunchbase.com/organization/peppy-health-ltd,56679386,USD,56679386,Private,Series B,101-250,"Employee Benefits, Health Care, Wellness","London, England, United Kingdom",Peppy is leading digital platform that helps employers give their people expert support for under-served areas of healthcare.,,,"Evan Harris, Max Landry, Mridula Pore",http://www.peppy.health,For Profit,hello@peppy.health,https://www.linkedin.com/company/getpeppy/,"Peppy is a digital health platform that supports underserved areas of healthcare including menopause, fertility and pregnancy, men's health and women's health. We work with leading employers, connecting their team members with human experts so they can access personalised support at the touch of a button, on the secure Peppy app. Because everyone's health journey matters.",,2018-01-01,year,45000000,USD,45000000,"Administrative Services, Health Care",Active,2023-01-11,,,,,
Infogrid,https://www.crunchbase.com/organization/infogrid-d81e,15500000,USD,15500000,Private,Series A,251-500,"Artificial Intelligence, Facility Management, Information Technology, Internet of Things, Property Management, Smart Building, Software","London, England, United Kingdom",Infogrid is an AI technology company that automates building management.,,,William Cowell de Gruchy,https://infogrid.io,For Profit,support@infogrid.io,https://www.linkedin.com/company/infogrid,"Infogrid is an AI technology company that automates facilities management and makes any building smart. Combining IoT sensors with AI, Infogrid optimizes and automates building management, saving time, money, and the environment, whilst improving safety. Sensors are small, unobtrusive, and low-cost. Implementation takes minutes. Data is transformed (using proprietary algorithms and machine learning) into actionable energy and cost-saving insights and easily integrates into existing systems. With Infogrid’s end-to-end system, it has never been easier to deliver a truly smart building.",,2018-01-01,year,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Real Estate, Science and Engineering, Software",Active,2023-02-21,,,,,
Archax,https://www.crunchbase.com/organization/archax,37506911,USD,37506911,Private,Series A,51-100,Financial Services,"London, England, United Kingdom","Archax is a global, regulated, digital asset exchange, brokerage and custodian based in London.",,,"Andrew Flatt, Graham Rodford, Matthew Pollard",https://www.archax.com,For Profit,info@archax.com,https://www.linkedin.com/company/archaxex,"Archax is a global, regulated, digital asset exchange, brokerage and custodian based in London. Founded by experts from the financial markets world and backed by an accomplished advisory board, Archax offers a credible bridge between the blockchain-centric crypto community and the traditional investment space. Archax is the first ever firm to receive FCA regulation as a digital securities exchange, custodian and brokerage. It was also the first firm to be listed on the FCA’s Cryptoasset Register as a VASP (Virtual Asset Service Provider). Archax has been designed specifically for institutional investors to trade in all types of digital assets. It is built using existing, proven, resilient, scalable, high-performance exchange infrastructure, hosted in top-tier datacentre space, and integrated into existing institutional trading workflow.",$500M to $1B,2018-04-01,month,28500000,USD,28500000,Financial Services,Active,2022-11-08,,,,,
Acre,https://www.crunchbase.com/organization/acre,11500000,GBP,14565766,Private,Seed,11-50,"Financial Services, Real Estate","London, England, United Kingdom",Acre is an all-in-one mortgage & protection platform.,,,Justus Brown,https://www.acresoftware.com,For Profit,hello@acresoftware.com,https://www.linkedin.com/company/acreplatforms,Acre is rebuilding the UK’s £1.4 trillion mortgage market from the ground up. We are vertically integrating the mortgage stack with a new end-to-end platform for brokers and lenders.,,2018-09-01,month,6500000,GBP,8028963,"Financial Services, Real Estate",Active,2023-04-03,,,,,
Kashet,https://www.crunchbase.com/organization/kashet,6200000,CHF,6766845,Private,Series A,1-10,Financial Services,"London, England, United Kingdom","Kashet is a highly innovative financial technology company headquartered in the heart of Crypto Valley, Switzerland with a UK.",,,Neil Kirk,https://www.kashet.com/,For Profit,,https://www.linkedin.com/company/kashet/,,$1M to $10M,2018-01-01,year,6200000,CHF,6766845,Financial Services,Active,2023-04-03,,,,,
Ownera,https://www.crunchbase.com/organization/ownera,20000000,USD,20000000,Private,Series A,11-50,"Computer, Information Technology, Software","London, England, United Kingdom",Ownera is an institutional-grade network for digital securities.,,,"Alon Goren, Ami Ben David",https://ownera.io/,For Profit,,https://www.linkedin.com/company/ownera/,Ownera is a digital assets software company building the institutional rails for a new multi-trillion-dollar digital securities market.  The company led the creation of the open-source specifications of the FinP2P protocol and delivers FinP2P based network nodes and digital assets solutions to the financial industry.,,2018-01-01,year,,,,"Consumer Electronics, Hardware, Information Technology, Software",Active,2023-03-01,,,,,
Finmap,https://www.crunchbase.com/organization/finmap,2813797,USD,2813797,Private,Seed,51-100,"Analytics, Finance, FinTech","London, England, United Kingdom",Finmap is a cash flow management tool for SMBs with automated data processing and actionable dashboards.,,,"Ivan Kaunov, Oleksandr Solovei",https://finmap.online/,For Profit,alex@finmap.online,https://www.linkedin.com/company/finmap-online/,"Finmap is a cash flow management tool that helps small and mid-sized businesses like agencies, service companies, developers, and project-based companies to get real-time visibility on what's going on in their business in terms of money, avoid cash gaps, and make the right decisions. The company's  easy-to-use financial management tool analyzes key business financials such as cash flows and profitability statements and automates financial management routines through integrations with banks and accounting tools, allowing clients to set up company financial and management accounting smoothly and optimize analytical summary reports in a matter of clicks. Finmap was established on January 1, 2018 in London, England.",,2018-01-01,day,1000000,EUR,1060951,"Data and Analytics, Financial Services",Active,2023-02-27,,,,,
Skin + Me,https://www.crunchbase.com/organization/gleam-6d46,18270000,GBP,22320814,Private,Series B,11-50,"Health Care, Pharmaceutical, Therapeutics","London, England, United Kingdom",Skin + Me is a D2C brand providing personalized skin treatments for feel-great skin.,,,"Horatio Cary, James Mishreki, Mike Passey, Philip Wilkinson, Rachel Jones",https://www.skinandme.com,For Profit,,https://www.linkedin.com/company/skinandmehq,"Skin + Me is a D2C brand providing personalized skin treatments for feel-great skin. The therapies provided by the company include an online medical consultation with dermatologists, pharmacists, and direct-to-consumer professionals, as well as prescription-based therapy creams, allowing skin health patients to receive consistent guidance, treatment, and support. Skin + Me was established in January, 2018 in London, England by Horatio Cary.",$1M to $10M,2018-01-01,month,10000000,GBP,12036924,Health Care,Active,2023-02-15,,,,,
Mercuryo,https://www.crunchbase.com/organization/mercuryo,10459501,USD,10459501,Private,Series A,51-100,"Cryptocurrency, Financial Services, FinTech","London, England, United Kingdom",Mercuryo is an international fintech company focused on providing cryptocurrency payment solutions.,,,"Alexander Vasiliev, Greg Waisman, Petr Kozyakov",https://mercuryo.io,For Profit,info@mercuryo.io,https://www.linkedin.com/company/mercuryo-io/,Mercuryo is an international fintech company focused on providing cryptocurrency payment solutions. The company's cryptocurrency infrastructure provides global access to fast and cheap money transfers with a bank-level oversight.,$1M to $10M,2018-09-01,day,7500000,USD,7500000,"Financial Services, Payments, Software",Active,2021-06-25,,,,,
Modern Milkman,https://www.crunchbase.com/organization/modern-milkman,68030000,GBP,83864932,Private,Series C,101-250,"Consumer Goods, Delivery Service, Grocery, Sustainability","Manchester, Manchester, United Kingdom",Modern Milkman is a return-and-reuse grocery delivery service on a mission to reduce waste.,,,"Becky Hilton, Simon Mellin",https://themodernmilkman.co.uk,For Profit,customerservice@themodernmilkman.co.uk,https://www.linkedin.com/company/the-modern-milkman,"Modern Milkman is a return-and-reuse grocery delivery service on a mission to reduce waste. Modern Milkman delivers fresh milk, groceries, and household products to customers' doors – in returnable glass bottles, reusable containers, or recyclable packaging. Modern Milkman is on a mission to revolutionize consumer habits by delivering fresh ways to return and reuse packaging, shop ethically, and feel good about convenience.",,2018-10-24,day,50000000,GBP,59132269,"Consumer Goods, Food and Beverage, Sustainability, Transportation",Active,2022-11-21,,,,,
The Bank of London,https://www.crunchbase.com/organization/the-bank-of-london,129712621,USD,129712621,Private,Series C,11-50,"Banking, Financial Services, FinTech","City Of London, England, United Kingdom","The Bank of London is a global clearing, agency, and transaction bank advancing the economic infrastructure of the future.",,,Anthony Watson,https://thebankoflondon.com,For Profit,hello.london@thebankoflondon.com,https://www.linkedin.com/company/thebankoflondon,"The Bank of London is a global clearing, agency, and transaction bank that leverages its patented technology innovations and differentiated bank capabilities to lift economies and communities by advancing the economic infrastructure of the future. The Bank of London partners with clients seeking to launch fully compliant financial products and services in-country and across-boarders. The Bank of London is a principal clearing bank of the United Kingdom authorized by the Bank of England's Prudential Regulation Authority and regulated by the Financial Conduct Authority and the Bank of England's Prudential Regulatory Authority.",,2018-01-01,year,32900000,GBP,39712620,"Financial Services, Lending and Investments",Active,2023-02-08,,,,,
Beacon,https://www.crunchbase.com/organization/beacon-c8a5,65000000,USD,65000000,Private,Series B,101-250,"Freight Service, Logistics, Productivity Tools, Software, Supply Chain Management","London, England, United Kingdom",Beacon is a digital supply chain and freight platform developed to optimize supply chains with insights and visibility.,,,"Dmitri Izmailov, Fraser Robinson",https://beacon.com,For Profit,support@beacon.co.uk,https://www.linkedin.com/company/beacon-freight,"Beacon is a digital supply chain and freight platform developed to optimize supply chains with insights and visibility. It offers a freight forwarding service across all modes integrated with its end-to-end visibility platform, connecting each stage of the supply chain to deliver a record of all the information teams need. From bookings to order management, live tracking, and document management, Beacon will move goods with transparency and efficiency, whilst the secure cloud-based software improves accuracy and saves time. The company was founded in 2018 by Fraser Robinson and Dmitri Izmailov and is headquartered in London, England, United Kingdom.",$10M to $50M,2018-01-01,year,50000000,USD,50000000,"Software, Transportation",Active,2021-10-04,,,,,
DataOps,https://www.crunchbase.com/organization/dataops,10300000,USD,10300000,Private,Seed,1-10,"Analytics, Information Technology, Software","London, England, United Kingdom",DataOps is a company to transforms its business with better data through automated data testing and orchestrated data pipelines.,,,,https://www.dataops.live,For Profit,INFO@DATAOPS.LIVE,https://www.linkedin.com/company/dataopslive/,"DataOps is a platform and tools that underpin the philosophy of DataOps to enable every company and stakeholder to get better, faster, and higher quality data, with no compromise on governance and data security.",,2018-01-01,year,10300000,USD,10300000,"Data and Analytics, Information Technology, Software",Active,2022-02-01,,,,,
TRIP,https://www.crunchbase.com/organization/trip-80a0,21951125,USD,21951125,Private,Series A,11-50,"Cannabis, E-Commerce, Food and Beverage","London, England, United Kingdom",TRIP is a CBD brand that sells wellness products infused with adaptogens.,,,"Daniel Khoury, Olivia Ferdi",https://drink-trip.com,For Profit,Wben34690@gmail.com,https://www.linkedin.com/company/tripdrinks,"TRIP is a CBD brand that sells wellness products infused with adaptogens. Its product offered are Vegan, gluten-free, and no added sugar.",,2018-01-01,year,12000000,USD,12000000,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care",Active,2022-08-22,,,,,
Tatum,https://www.crunchbase.com/organization/tatum-429a,49725000,USD,49725000,Private,Series A,51-100,"Blockchain, Developer APIs, Developer Platform, PaaS, Smart Building","London, England, United Kingdom","Tatum gives developers, entrepreneurs, and businesses a platform to utilize blockchain technology regardless of the blockchain.",,,"Jiri Kobelka, Samuel Šramko",https://tatum.io,For Profit,hello@tatum.io,https://www.linkedin.com/company/tatumio,"Tatum is a blockchain development platform designed to assist developers in building applications on the blockchain. The company is a platform for building blockchain infrastructure that offers developers an easy-to-use application programming interface (API), allowing them to incorporate blockchain into their products quickly and effortlessly. Tatum was established on June 4, 2018 by Jiri Kobelka and Samuel Šramko in London, England.",,2018-06-04,day,41500000,USD,41500000,"Other, Real Estate, Software",Active,2022-10-12,,,,,
Smol,https://www.crunchbase.com/organization/smol,32000000,GBP,44098340,Private,Series B,11-50,"Consumer Goods, Home Health Care, Laundry and Dry-cleaning","London, England, United Kingdom",Smol is a homecare startup that delivers eco-friendly laundry capsules and dishwasher tablets to people's homes.,,,"Nick Green, Paula Quazi",https://smolproducts.com,For Profit,help@smolproducts.com,https://www.linkedin.com/company/smolproducts,"Smol is a homecare startup that delivers to people’s homes eco-friendly laundry capsules and dishwasher tablets on subscription through letterboxes, which undercut the price of the leading brands. The company's laundry capsules and dishwasher tablets are eco-friendly, packed in recycled and recyclable materials, and suitable for vegans. No animal testing, no animal derivatives, just wonderfully fragranced clean clothes and dishes.",,2018-01-01,year,24000000,GBP,33913537,"Clothing and Apparel, Consumer Goods, Health Care",Active,2021-05-10,,,,,
Cledara,https://www.crunchbase.com/organization/cledara,24330000,USD,24330000,Private,Series A,51-100,"Innovation Management, SaaS","London, England, United Kingdom",Cledara is one place to manage all your software subscriptions.,,,"Brad van Leeuwen, Cristina Vila",http://www.cledara.com,For Profit,hello@cledara.com,https://www.linkedin.com/company/cledara,"Cledara gives you a detailed overview of software your company uses and allows you to manage it all in a very simple way.  Request and approve software, pay for it, put its accounting on autopilot and lean into usage and finance data to cancel apps with a click if needed. With Cledara, +1000 companies in the US, UK and Europe reduce software costs by 30% and save +20h a month on software admin.",,2018-07-09,day,20000000,USD,20000000,"Professional Services, Software",Active,2022-09-12,,,,,
BankiFi,https://www.crunchbase.com/organization/bankifi,6700000,GBP,8517221,Private,Series A,11-50,"Financial Services, FinTech","Manchester, Manchester, United Kingdom",BankiFi is a bussiness technology firm.,,,Mark Hartley,https://www.bankifi.com/,For Profit,,https://www.linkedin.com/company/bankifi,"Provide your business customers with the right solutions at the right stage of life, throughout their entire journey. Banks can so support businesses gig to big: from sole-trader/self-employed (‘Gig’) and microbusiness through to SME and internationally operating enterprises with sophisticated requirements. Acquire new business customers early for a very low cost, and stay with them for life.",$1M to $10M,2018-01-01,year,4000000,GBP,4822798,Financial Services,Active,2022-08-15,,,,,
Ramp Growth,https://www.crunchbase.com/organization/ramp-growth,4100000,GBP,4934575,Private,Seed,11-50,SaaS,"London, England, United Kingdom",Ramp Growth is a SaaS analytics firm.,,,"Angus Lovitt, Daniel Marcus, Jan Pickard",https://rampgrowth.com/,For Profit,hello@rampgrowth.com,https://www.linkedin.com/company/rampgrowth/,"Ramp Growth provides forecasting analytics software. They provide run scenarios and forecasts in less time and predict customer behaviour, future revenue, and the annual growth of a firm at the press of a button, enabling financial planners and finance teams to reduce the consequences of incorrect resource allocation.",,2018-01-01,year,4100000,GBP,4934574,Software,Active,2023-03-03,,,,,
Penfold,https://www.crunchbase.com/organization/penfold,17432992,GBP,22382063,Private,Series A,11-50,"Financial Services, FinTech, Mobile, Mobile Apps, Personal Finance","London, England, United Kingdom",Penfold is a pension management company that assists its users in tracking their pensions.,,,"Chris Eastwood, Peter Hykin, Stuart Robinson",http://www.getpenfold.com,For Profit,hello@getpenfold.com,https://www.linkedin.com/company/penfold-technology,"Penfold is also an auto-enrolment platform for employers. It is managed entirely on mobile, the establishment gives people complete transparency to track everything about their pension in real-time.  Penfold was established on May 26, 2018, in London, England by Stuart Robinson, Chris Eastwood, and Peter Hykin.",,2018-05-26,day,7000000,GBP,8459643,"Apps, Financial Services, Mobile, Software",Active,2022-08-08,,,,,
Manual,https://www.crunchbase.com/organization/manual-b7ab,27000000,GBP,36677258,Private,Series A,11-50,"Health Care, Men's, Wellness","London, England, United Kingdom",Manual provides diagnostic tools and testing to help patients make health-related decisions.,,,"George Pallis, Michalis Gkontas",https://www.manual.co/,For Profit,help@manual.co,https://www.linkedin.com/company/manualco,"Manual is a men’s health and well-being startup offering a suite of diagnostic tools and blood tests to offer data-driven health solutions. The company provides men with easy access to advice, free medical support, and the treatment choices they need to help them make proactive decisions about their wellbeing. Manual was founded in 2018 and is headquartered in London, UK.",,2018-01-01,year,,,,"Community and Lifestyle, Health Care",Active,2021-09-21,,,,,
3S Money,https://www.crunchbase.com/organization/3s-money,8361000,GBP,11058925,Private,Series B,51-100,"Banking, Financial Services, FinTech","London, England, United Kingdom",3S Money offers international business banking services in 190 countries.,,,"Andrei Dikouchine, Eugene Dugaev, Ivan Zhiznevskiy",https://3s.money/,For Profit,info@3s.money,https://www.linkedin.com/company/3s-money/,"3S Money is a bank challenger that helps international businesses go global and trade with customers and suppliers. We handle transactions in over 40 currencies and work with businesses in 190 countries. Our Global Business Account is designed for high-value import and export transactions, dividend distributions, finance and treasury operations, with 3S Money handling all aspects of cross-border payments and FX risk management.  We have a ‘No Chatbot’ policy and offer 24/7 personal client support from our offices in London, Dubai, Amsterdam, Luxembourg and Riga. Our clients get unrivalled levels of service and attention, supporting them to manage currency risk and strategically handle their international payment requirements.",,2018-06-18,day,1562000,GBP,2055341,"Financial Services, Lending and Investments",Active,2022-03-17,,,,,
Lumen,https://www.crunchbase.com/organization/lumen-f5ff,3500000,GBP,4521204,Private,Seed,11-50,"Apps, Dating, Social Network","London, England, United Kingdom",Lumen is an app-only dating platform for over 50s.,,,"Antoine Argouges, Charly Lester",http://www.lumenapp.com,For Profit,hello@lumenapp.com,https://www.linkedin.com/company/lumenapp/,"Lumen is a new app, specifically designed for over 50s. Meet other singles on their free, safe dating app. Let’s be honest - dating for over 50s is pretty rubbish at the moment.  It gets labelled ‘senior dating’ or ‘mature dating’ and every website uses stock photos of 70 year-old retirees, snoozing together in hammocks.  Meanwhile, a whole generation of 50-somethings are getting divorced from their childhood sweethearts, having never really dated before.  They use smart phones just as much as they do, and yet there are no decent dating apps targeted at this age group. That’s where Lumen comes in.  They are the first ever app-only dating offering for over 50s.  They have a big focus on safety and honesty, because they know that those are things which our users value, but equally they understand that they are still active and fun.",Less than $1M,2018-07-16,day,3500000,GBP,4521204,"Apps, Community and Lifestyle, Internet Services, Software",Closed,2018-09-07,,,,,
Virtual Internships,https://www.crunchbase.com/organization/virtual-internship-partners,16800000,USD,16800000,Private,Series A,51-100,"EdTech, Education","London, England, United Kingdom","Virtual Internship Partners provides transformative, 21st-century remote-work experiences for students and graduates",,,"Daniel Nivern, Edward Holroyd Pearce",https://www.virtualinternships.com/,For Profit,hello@virtualinternships.com,https://www.linkedin.com/company/virtual-internships/,"Virtual Internships are redefining the boundaries of talent acquisition and career development. Intentionally disrupting career entry and continued development by reducing barriers to employment through virtual opportunities.  Utilizing technology and a global network of partners, VI opens the door for candidates to access and gain opportunity with impactful careers all around the world.",,2018-01-01,year,14300000,USD,14300000,"Education, Software",Active,2022-09-14,,,,,
Addionics,https://www.crunchbase.com/organization/addionics-london-united-kingdom,34000000,USD,34000000,Private,Series A,11-50,"3D Technology, Battery, Energy Efficiency, Manufacturing, Product Design","London, England, United Kingdom",Addionics is creating next-generation batteries through intelligent 3D battery architecture and engineering.,,,"Farid Tariq, Moshiel Biton, Vladimir Yufit",http://www.addionics.com,For Profit,info@addionics.com,https://www.linkedin.com/company/addionics/,"Addionics is creating next-generation batteries through intelligent 3D battery architecture and engineering.  It provides specialized improved rechargeable batteries by redesigning their architecture. The company invents new energy storage with higher energy density, lower charging time, and improved heat safety, with the largest markets in mind. Addionics is developing a new technology that transforms the way to store and deliver energy with a positive effect on the environment. Today, the company is accelerating the development and scale-up of its proprietary technology to create the next generation of batteries to power the future. It provides specialized improved rechargeable batteries by redesigning their architecture. Addionics was founded in 2017 and is based in London, England.",,2018-01-01,year,27000000,USD,27000000,"Design, Energy, Hardware, Manufacturing, Software, Sustainability",Active,2022-01-25,,,,,
Atom Learning,https://www.crunchbase.com/organization/atom-learning,19000000,GBP,25126127,Private,Series A,51-100,"E-Learning, EdTech, Education","London, England, United Kingdom","Atom Learning is a fully adaptive, online teaching platform for Key Stage 2, early Key Stage 3 and senior school entry preparation.",,,"Alex Hatvany, Jake O'Keeffe",https://atomlearning.co.uk/,For Profit,support@atomlearning.co.uk,https://www.linkedin.com/company/atom-learning/,"We believe students of all backgrounds and attainment levels should experience the benefits of personalised education. We combine the highest quality teacher-produced content with adaptive technology for a personalised and impactful learning experience. Our solutions are used both at home and in schools, as we lead the way in modernising education globally.",Less than $1M,2018-01-01,year,19000000,GBP,25126126,"Education, Software",Active,2021-12-09,,,,,
